tool	source_genome	category	label	source_genome_length	n_fragments	TP	FP	TN	FN	precision	recall	specificity	FPR	F1	MCC	AUPRC
VirSorter	IMGVR_UViG_3300045988_083571	megasphaera_phage	viral	40756	27	0	0	0	27	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	IMGVR_UViG_3300045988_117760	megasphaera_phage	viral	48752	32	0	0	0	32	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	MW387018.1	gardnerella_phage	viral	50268	33	3	0	0	30	1.0	0.0909	NA	NA	0.1667	0.0	1.0
VirSorter	NC_001357.1	hpv	viral	7857	5	0	0	0	5	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	NC_001443.1	hpv	viral	7824	5	0	0	0	5	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	NC_001526.4	hpv	viral	7906	5	0	0	0	5	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	NC_001592.1	hpv	viral	7942	5	0	0	0	5	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	NC_001798.2	herpesvirus	viral	154675	103	0	0	0	103	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	NC_001806.2	herpesvirus	viral	152222	101	0	0	0	101	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	NC_002076.2	anellovirus	viral	3852	2	0	0	0	2	0.0	0.0	NA	NA	0.0	0.0	NA
VirSorter	NC_007924.1	lactobacillus_phage	viral	38239	25	11	0	0	14	1.0	0.44	NA	NA	0.6111	0.0	1.0
VirSorter	NC_011801.1	lactobacillus_phage	viral	38934	25	6	0	0	19	1.0	0.24	NA	NA	0.3871	0.0	1.0
VirSorter	NZ_AFIJ01000001.1	negative_control	bacterial	1841	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000002.1	negative_control	bacterial	1880	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000003.1	negative_control	bacterial	19318	12	0	0	12	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000004.1	negative_control	bacterial	100595	67	0	0	67	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000005.1	negative_control	bacterial	10272	6	0	0	6	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000006.1	negative_control	bacterial	35744	23	0	0	23	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000007.1	negative_control	bacterial	148045	98	0	0	98	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000008.1	negative_control	bacterial	149073	99	0	0	99	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000009.1	negative_control	bacterial	28506	19	0	0	19	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000010.1	negative_control	bacterial	2931	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000011.1	negative_control	bacterial	37253	24	0	0	24	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000013.1	negative_control	bacterial	6229	4	0	0	4	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000014.1	negative_control	bacterial	11574	7	0	0	7	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000015.1	negative_control	bacterial	4417	2	0	0	2	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000017.1	negative_control	bacterial	21892	14	0	0	14	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000018.1	negative_control	bacterial	43361	28	0	0	28	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000019.1	negative_control	bacterial	11839	7	0	0	7	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000020.1	negative_control	bacterial	80676	53	0	0	53	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000021.1	negative_control	bacterial	2632	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000022.1	negative_control	bacterial	1726	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000023.1	negative_control	bacterial	71554	47	0	0	47	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000025.1	negative_control	bacterial	12101	8	0	0	8	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000026.1	negative_control	bacterial	50184	33	0	0	33	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000027.1	negative_control	bacterial	12043	8	0	0	8	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000028.1	negative_control	bacterial	3598	2	0	0	2	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000029.1	negative_control	bacterial	104968	69	0	0	69	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000031.1	negative_control	bacterial	1521	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000032.1	negative_control	bacterial	123176	82	0	0	82	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000033.1	negative_control	bacterial	81962	54	0	0	54	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000035.1	negative_control	bacterial	55251	36	0	0	36	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000036.1	negative_control	bacterial	38748	25	0	0	25	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000038.1	negative_control	bacterial	96055	64	0	0	64	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000039.1	negative_control	bacterial	122540	81	0	0	81	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000040.1	negative_control	bacterial	1793	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000044.1	negative_control	bacterial	23508	15	0	0	15	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AFIJ01000045.1	negative_control	bacterial	114466	76	0	0	76	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_AP012332.1	negative_control	bacterial	1667406	1111	0	0	1111	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_CP011280.1	negative_control	bacterial	1330224	886	0	0	886	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_CP039266.1	negative_control	bacterial	2023061	1348	0	0	1348	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_CP039267.1	negative_control	bacterial	16343	10	0	0	10	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_CP049230.1	negative_control	bacterial	1318700	879	0	0	879	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter	NZ_CP065631.1	negative_control	bacterial	1447017	964	0	0	964	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	IMGVR_UViG_2636415511_000001	sneathia_phage	viral	39231	26	14	0	0	12	1.0	0.5385	NA	NA	0.7	0.0	1.0
VirSorter2	IMGVR_UViG_3300007272_000043	fannyhessea_phage	viral	40885	27	11	0	0	16	1.0	0.4074	NA	NA	0.5789	0.0	1.0
VirSorter2	IMGVR_UViG_3300045988_083571	megasphaera_phage	viral	40756	27	12	0	0	15	1.0	0.4444	NA	NA	0.6154	0.0	1.0
VirSorter2	IMGVR_UViG_3300045988_117760	megasphaera_phage	viral	48752	32	16	0	0	16	1.0	0.5	NA	NA	0.6667	0.0	1.0
VirSorter2	MW387018.1	gardnerella_phage	viral	50268	33	17	0	0	16	1.0	0.5152	NA	NA	0.68	0.0	1.0
VirSorter2	NC_001357.1	hpv	viral	7857	5	2	0	0	3	1.0	0.4	NA	NA	0.5714	0.0	1.0
VirSorter2	NC_001443.1	hpv	viral	7824	5	1	0	0	4	1.0	0.2	NA	NA	0.3333	0.0	1.0
VirSorter2	NC_001526.4	hpv	viral	7906	5	1	0	0	4	1.0	0.2	NA	NA	0.3333	0.0	1.0
VirSorter2	NC_001592.1	hpv	viral	7942	5	1	0	0	4	1.0	0.2	NA	NA	0.3333	0.0	1.0
VirSorter2	NC_001798.2	herpesvirus	viral	154675	103	13	0	0	90	1.0	0.1262	NA	NA	0.2241	0.0	1.0
VirSorter2	NC_001806.2	herpesvirus	viral	152222	101	14	0	0	87	1.0	0.1386	NA	NA	0.2435	0.0	1.0
VirSorter2	NC_002076.2	anellovirus	viral	3852	2	1	0	0	1	1.0	0.5	NA	NA	0.6667	0.0	1.0
VirSorter2	NC_007924.1	lactobacillus_phage	viral	38239	25	15	0	0	10	1.0	0.6	NA	NA	0.75	0.0	1.0
VirSorter2	NC_011801.1	lactobacillus_phage	viral	38934	25	16	0	0	9	1.0	0.64	NA	NA	0.7805	0.0	1.0
VirSorter2	NZ_AFIJ01000001.1	negative_control	bacterial	1841	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000002.1	negative_control	bacterial	1880	1	0	1	0	0	0.0	0.0	0.0	1.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000003.1	negative_control	bacterial	19318	12	0	2	10	0	0.0	0.0	0.8333	0.1667	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000004.1	negative_control	bacterial	100595	67	0	1	66	0	0.0	0.0	0.9851	0.0149	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000005.1	negative_control	bacterial	10272	6	0	0	6	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000006.1	negative_control	bacterial	35744	23	0	2	21	0	0.0	0.0	0.913	0.087	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000007.1	negative_control	bacterial	148045	98	0	1	97	0	0.0	0.0	0.9898	0.0102	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000008.1	negative_control	bacterial	149073	99	0	7	92	0	0.0	0.0	0.9293	0.0707	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000009.1	negative_control	bacterial	28506	19	0	1	18	0	0.0	0.0	0.9474	0.0526	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000010.1	negative_control	bacterial	2931	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000011.1	negative_control	bacterial	37253	24	0	0	24	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000013.1	negative_control	bacterial	6229	4	0	0	4	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000014.1	negative_control	bacterial	11574	7	0	0	7	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000015.1	negative_control	bacterial	4417	2	0	0	2	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000017.1	negative_control	bacterial	21892	14	0	0	14	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000018.1	negative_control	bacterial	43361	28	0	1	27	0	0.0	0.0	0.9643	0.0357	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000019.1	negative_control	bacterial	11839	7	0	0	7	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000020.1	negative_control	bacterial	80676	53	0	1	52	0	0.0	0.0	0.9811	0.0189	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000021.1	negative_control	bacterial	2632	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000022.1	negative_control	bacterial	1726	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000023.1	negative_control	bacterial	71554	47	0	0	47	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000025.1	negative_control	bacterial	12101	8	0	0	8	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000026.1	negative_control	bacterial	50184	33	0	0	33	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000027.1	negative_control	bacterial	12043	8	0	0	8	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000028.1	negative_control	bacterial	3598	2	0	0	2	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000029.1	negative_control	bacterial	104968	69	0	4	65	0	0.0	0.0	0.942	0.058	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000031.1	negative_control	bacterial	1521	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000032.1	negative_control	bacterial	123176	82	0	5	77	0	0.0	0.0	0.939	0.061	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000033.1	negative_control	bacterial	81962	54	0	1	53	0	0.0	0.0	0.9815	0.0185	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000035.1	negative_control	bacterial	55251	36	0	1	35	0	0.0	0.0	0.9722	0.0278	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000036.1	negative_control	bacterial	38748	25	0	1	24	0	0.0	0.0	0.96	0.04	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000038.1	negative_control	bacterial	96055	64	0	5	59	0	0.0	0.0	0.9219	0.0781	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000039.1	negative_control	bacterial	122540	81	0	4	77	0	0.0	0.0	0.9506	0.0494	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000040.1	negative_control	bacterial	1793	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirSorter2	NZ_AFIJ01000044.1	negative_control	bacterial	23508	15	0	2	13	0	0.0	0.0	0.8667	0.1333	0.0	0.0	0.0
VirSorter2	NZ_AFIJ01000045.1	negative_control	bacterial	114466	76	0	1	75	0	0.0	0.0	0.9868	0.0132	0.0	0.0	0.0
VirSorter2	NZ_AP012332.1	negative_control	bacterial	1667406	1111	0	43	1068	0	0.0	0.0	0.9613	0.0387	0.0	0.0	0.0
VirSorter2	NZ_CP011280.1	negative_control	bacterial	1330224	886	0	48	838	0	0.0	0.0	0.9458	0.0542	0.0	0.0	0.0
VirSorter2	NZ_CP039266.1	negative_control	bacterial	2023061	1348	0	67	1281	0	0.0	0.0	0.9503	0.0497	0.0	0.0	0.0
VirSorter2	NZ_CP039267.1	negative_control	bacterial	16343	10	0	1	9	0	0.0	0.0	0.9	0.1	0.0	0.0	0.0
VirSorter2	NZ_CP049230.1	negative_control	bacterial	1318700	879	0	36	843	0	0.0	0.0	0.959	0.041	0.0	0.0	0.0
VirSorter2	NZ_CP065631.1	negative_control	bacterial	1447017	964	0	30	934	0	0.0	0.0	0.9689	0.0311	0.0	0.0	0.0
VirFinder	IMGVR_UViG_2636415511_000001	sneathia_phage	viral	39231	26	15	0	0	11	1.0	0.5769	NA	NA	0.7317	0.0	1.0
VirFinder	IMGVR_UViG_3300007272_000043	fannyhessea_phage	viral	40885	27	6	0	0	21	1.0	0.2222	NA	NA	0.3636	0.0	1.0
VirFinder	IMGVR_UViG_3300045988_083571	megasphaera_phage	viral	40756	27	25	0	0	2	1.0	0.9259	NA	NA	0.9615	0.0	1.0
VirFinder	IMGVR_UViG_3300045988_117760	megasphaera_phage	viral	48752	32	0	0	0	32	0.0	0.0	NA	NA	0.0	0.0	1.0
VirFinder	MW387018.1	gardnerella_phage	viral	50268	33	3	0	0	30	1.0	0.0909	NA	NA	0.1667	0.0	1.0
VirFinder	NC_001357.1	hpv	viral	7857	5	2	0	0	3	1.0	0.4	NA	NA	0.5714	0.0	1.0
VirFinder	NC_001443.1	hpv	viral	7824	5	2	0	0	3	1.0	0.4	NA	NA	0.5714	0.0	1.0
VirFinder	NC_001526.4	hpv	viral	7906	5	2	0	0	3	1.0	0.4	NA	NA	0.5714	0.0	1.0
VirFinder	NC_001592.1	hpv	viral	7942	5	0	0	0	5	0.0	0.0	NA	NA	0.0	0.0	1.0
VirFinder	NC_001798.2	herpesvirus	viral	154675	103	1	0	0	102	1.0	0.0097	NA	NA	0.0192	0.0	1.0
VirFinder	NC_001806.2	herpesvirus	viral	152222	101	0	0	0	101	0.0	0.0	NA	NA	0.0	0.0	1.0
VirFinder	NC_002076.2	anellovirus	viral	3852	2	1	0	0	1	1.0	0.5	NA	NA	0.6667	0.0	1.0
VirFinder	NC_007924.1	lactobacillus_phage	viral	38239	25	14	0	0	11	1.0	0.56	NA	NA	0.7179	0.0	1.0
VirFinder	NC_011801.1	lactobacillus_phage	viral	38934	25	9	0	0	16	1.0	0.36	NA	NA	0.5294	0.0	1.0
VirFinder	NZ_AFIJ01000001.1	negative_control	bacterial	1841	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirFinder	NZ_AFIJ01000002.1	negative_control	bacterial	1880	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirFinder	NZ_AFIJ01000003.1	negative_control	bacterial	19318	12	0	0	12	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
VirFinder	NZ_AFIJ01000004.1	negative_control	bacterial	100595	67	0	0	67	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
VirFinder	NZ_AFIJ01000005.1	negative_control	bacterial	10272	6	0	0	6	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
VirFinder	NZ_AFIJ01000006.1	negative_control	bacterial	35744	23	0	0	23	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
VirFinder	NZ_AFIJ01000007.1	negative_control	bacterial	148045	98	0	0	98	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
VirFinder	NZ_AFIJ01000008.1	negative_control	bacterial	149073	99	0	0	99	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
VirFinder	NZ_AFIJ01000009.1	negative_control	bacterial	28506	19	0	0	19	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
VirFinder	NZ_AFIJ01000010.1	negative_control	bacterial	2931	1	0	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	NA
VirFinder	NZ_AFIJ01000011.1	negative_control	bacterial	37253	24	0	0	24	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
VirFinder	NZ_AFIJ01000013.1	negative_control	bacterial	6229	4	0	0	4	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
