length_bin	length_bp	tool	metric	point	ci_lo	ci_hi	se
L500_fragments	500	VirSorter2	recall	0.0197	0.0126	0.0278	0.0039
L500_fragments	500	ViraLM	MCC	0.3032	0.2877	0.318	0.0077
L500_fragments	500	ViraLM	AUPRC	0.397	0.3708	0.4249	0.0142
L500_fragments	500	ViraLM	F1	0.3053	0.29	0.3204	0.0075
L500_fragments	500	ViraLM	precision	0.1915	0.1805	0.2032	0.0055
L500_fragments	500	ViraLM	recall	0.752	0.729	0.7746	0.0118
L500_fragments	500	geNomad	MCC	0.4273	0.4017	0.4528	0.0132
L500_fragments	500	geNomad	AUPRC	0.2524	0.2301	0.2742	0.0112
L500_fragments	500	geNomad	F1	0.3515	0.3218	0.3797	0.0148
L500_fragments	500	geNomad	precision	0.891	0.8576	0.9233	0.017
L500_fragments	500	geNomad	recall	0.2189	0.1968	0.2405	0.0111
L1000_fragments	1000	DeepVirFinder	MCC	0.1441	0.1193	0.1698	0.0133
L1000_fragments	1000	DeepVirFinder	AUPRC	0.1522	0.1298	0.1821	0.0134
L1000_fragments	1000	DeepVirFinder	F1	0.2057	0.1843	0.229	0.0118
L1000_fragments	1000	DeepVirFinder	precision	0.1461	0.1294	0.1647	0.0092
L1000_fragments	1000	DeepVirFinder	recall	0.3476	0.3098	0.3843	0.0189
L1000_fragments	1000	HVSeeker	MCC	0.0155	-0.0042	0.0353	0.0101
L1000_fragments	1000	HVSeeker	AUPRC	0.0691	0.0625	0.076	0.0035
L1000_fragments	1000	HVSeeker	F1	0.1183	0.1067	0.1297	0.0059
L1000_fragments	1000	HVSeeker	precision	0.0664	0.0596	0.0732	0.0035
L1000_fragments	1000	HVSeeker	recall	0.5429	0.5028	0.5813	0.0202
L1000_fragments	1000	Jaeger	MCC	0.0	0.0	0.0	0.0
L1000_fragments	1000	Jaeger	AUPRC		NA	NA	NA
L1000_fragments	1000	Jaeger	F1	0.0	0.0	0.0	0.0
L1000_fragments	1000	Jaeger	precision	0.0	0.0	0.0	0.0
L1000_fragments	1000	Jaeger	recall	0.0	0.0	0.0	0.0
L1000_fragments	1000	MetaPhinder	MCC	0.0238	0.0051	0.0414	0.0098
L1000_fragments	1000	MetaPhinder	AUPRC	0.0658	0.0604	0.0715	0.0029
L1000_fragments	1000	MetaPhinder	F1	0.1212	0.1096	0.1329	0.0061
L1000_fragments	1000	MetaPhinder	precision	0.0691	0.0621	0.0762	0.0037
L1000_fragments	1000	MetaPhinder	recall	0.4905	0.4538	0.5277	0.0194
L1000_fragments	1000	PPR-Meta	MCC	0.1154	0.0898	0.1383	0.0121
L1000_fragments	1000	PPR-Meta	AUPRC	0.1864	0.1565	0.2191	0.0168
L1000_fragments	1000	PPR-Meta	F1	0.1801	0.1598	0.1992	0.01
L1000_fragments	1000	PPR-Meta	precision	0.1169	0.103	0.1305	0.007
L1000_fragments	1000	PPR-Meta	recall	0.3921	0.352	0.43	0.0197
L1000_fragments	1000	Seeker	MCC	-0.0211	-0.0424	-0.0021	0.01
L1000_fragments	1000	Seeker	AUPRC	0.0673	0.0599	0.0769	0.0045
L1000_fragments	1000	Seeker	F1	0.1041	0.0934	0.1142	0.0053
L1000_fragments	1000	Seeker	precision	0.058	0.0519	0.0641	0.0031
L1000_fragments	1000	Seeker	recall	0.5063	0.4652	0.5441	0.0199
L1000_fragments	1000	Sourmash	MCC	0.0	0.0	0.0	0.0
L1000_fragments	1000	Sourmash	AUPRC	0.0657	0.0608	0.0722	0.003
L1000_fragments	1000	Sourmash	F1	0.0	0.0	0.0	0.0
L1000_fragments	1000	Sourmash	precision	0.0	0.0	0.0	0.0
L1000_fragments	1000	Sourmash	recall	0.0	0.0	0.0	0.0
L1000_fragments	1000	TransGINmer	MCC	0.2335	0.2127	0.2544	0.0108
L1000_fragments	1000	TransGINmer	AUPRC	0.2981	0.2633	0.3367	0.0188
L1000_fragments	1000	TransGINmer	F1	0.2489	0.2297	0.2677	0.0094
L1000_fragments	1000	TransGINmer	precision	0.1515	0.1375	0.1645	0.0065
L1000_fragments	1000	TransGINmer	recall	0.6984	0.665	0.7344	0.0187
L1000_fragments	1000	VIBRANT	MCC	0.0883	0.0426	0.1295	0.0227
L1000_fragments	1000	VIBRANT	AUPRC	0.0706	0.0623	0.0803	0.0047
L1000_fragments	1000	VIBRANT	F1	0.0219	0.0068	0.039	0.0081
L1000_fragments	1000	VIBRANT	precision	0.7778	0.4444	1.0	0.148
L1000_fragments	1000	VIBRANT	recall	0.0111	0.0034	0.0199	0.0042
L1000_fragments	1000	VirFinder	MCC	0.0725	0.0487	0.0988	0.0128
L1000_fragments	1000	VirFinder	AUPRC	0.0912	0.0778	0.1118	0.0086
L1000_fragments	1000	VirFinder	F1	0.1449	0.1222	0.1688	0.0116
L1000_fragments	1000	VirFinder	precision	0.1103	0.0926	0.1293	0.0093
L1000_fragments	1000	VirFinder	recall	0.2111	0.1803	0.247	0.017
L1000_fragments	1000	VirSorter	MCC	0.0772	0.0375	0.1099	0.0215
L1000_fragments	1000	VirSorter	AUPRC	0.0686	0.0619	0.0761	0.0038
L1000_fragments	1000	VirSorter	F1	0.0126	0.003	0.0254	0.0063
L1000_fragments	1000	VirSorter	precision	1.0	1.0	1.0	0.133
L1000_fragments	1000	VirSorter	recall	0.0063	0.0015	0.0129	0.0032
L1000_fragments	1000	VirSorter2	MCC	0.2242	0.1832	0.2622	0.0211
L1000_fragments	1000	VirSorter2	AUPRC	0.1401	0.1154	0.168	0.0136
L1000_fragments	1000	VirSorter2	F1	0.2336	0.1962	0.2687	0.0195
L1000_fragments	1000	VirSorter2	precision	0.3903	0.3282	0.4472	0.0315
L1000_fragments	1000	VirSorter2	recall	0.1667	0.1374	0.1943	0.0153
L1000_fragments	1000	ViraLM	MCC	0.4689	0.4467	0.4885	0.0105
L1000_fragments	1000	ViraLM	AUPRC	0.7181	0.6869	0.7484	0.0158
L1000_fragments	1000	ViraLM	F1	0.4464	0.422	0.4701	0.012
L1000_fragments	1000	ViraLM	precision	0.2963	0.2762	0.3171	0.0102
L1000_fragments	1000	ViraLM	recall	0.9048	0.8847	0.9258	0.011
L1000_fragments	1000	geNomad	MCC	0.5985	0.5639	0.6311	0.017
L1000_fragments	1000	geNomad	AUPRC	0.4234	0.3827	0.4608	0.0198
L1000_fragments	1000	geNomad	F1	0.5664	0.5253	0.6043	0.0199
L1000_fragments	1000	geNomad	precision	0.9181	0.8874	0.9496	0.016
L1000_fragments	1000	geNomad	recall	0.4095	0.3691	0.4483	0.0201
L1500_fragments	1500	DeepVirFinder	MCC	0.1517	0.121	0.1821	0.0156
L1500_fragments	1500	DeepVirFinder	AUPRC	0.1666	0.1342	0.2033	0.0179
L1500_fragments	1500	DeepVirFinder	F1	0.2106	0.1832	0.2365	0.0138
L1500_fragments	1500	DeepVirFinder	precision	0.144	0.1233	0.164	0.0104
L1500_fragments	1500	DeepVirFinder	recall	0.3919	0.3458	0.4383	0.0238
L1500_fragments	1500	HVSeeker	MCC	0.0132	-0.0109	0.0362	0.0126
L1500_fragments	1500	HVSeeker	AUPRC	0.0737	0.064	0.0841	0.0053
L1500_fragments	1500	HVSeeker	F1	0.1178	0.1036	0.1318	0.0074
L1500_fragments	1500	HVSeeker	precision	0.066	0.0577	0.0745	0.0044
L1500_fragments	1500	HVSeeker	recall	0.5439	0.4955	0.5897	0.0252
L1500_fragments	1500	Jaeger	MCC	0.0	0.0	0.0	0.0
L1500_fragments	1500	Jaeger	AUPRC		NA	NA	NA
L1500_fragments	1500	Jaeger	F1	0.0	0.0	0.0	0.0
L1500_fragments	1500	Jaeger	precision	0.0	0.0	0.0	0.0
L1500_fragments	1500	Jaeger	recall	0.0	0.0	0.0	0.0
L1500_fragments	1500	MetaPhinder	MCC	0.0486	0.0236	0.0722	0.0127
L1500_fragments	1500	MetaPhinder	AUPRC	0.07	0.0623	0.0781	0.004
L1500_fragments	1500	MetaPhinder	F1	0.134	0.116	0.1521	0.0092
L1500_fragments	1500	MetaPhinder	precision	0.08	0.0684	0.0916	0.0059
L1500_fragments	1500	MetaPhinder	recall	0.4109	0.3671	0.4554	0.0233
L1500_fragments	1500	PPR-Meta	MCC	0.1485	0.1175	0.1779	0.0156
L1500_fragments	1500	PPR-Meta	AUPRC	0.2214	0.18	0.2648	0.0224
L1500_fragments	1500	PPR-Meta	F1	0.2059	0.1795	0.2318	0.0134
L1500_fragments	1500	PPR-Meta	precision	0.1361	0.117	0.1552	0.0097
L1500_fragments	1500	PPR-Meta	recall	0.4228	0.3753	0.4689	0.0248
L1500_fragments	1500	Seeker	MCC	-0.0232	-0.0489	0.002	0.0129
L1500_fragments	1500	Seeker	AUPRC	0.0676	0.058	0.0814	0.0059
L1500_fragments	1500	Seeker	F1	0.104	0.0905	0.1171	0.0068
L1500_fragments	1500	Seeker	precision	0.0579	0.0499	0.0654	0.004
L1500_fragments	1500	Seeker	recall	0.5107	0.4598	0.5602	0.0255
L1500_fragments	1500	Sourmash	MCC	0.0	0.0	0.0	0.0
L1500_fragments	1500	Sourmash	AUPRC	0.0674	0.0613	0.0763	0.004
L1500_fragments	1500	Sourmash	F1	0.0	0.0	0.0	0.0
L1500_fragments	1500	Sourmash	precision	0.0	0.0	0.0	0.0
L1500_fragments	1500	Sourmash	recall	0.0	0.0	0.0	0.0
L1500_fragments	1500	TransGINmer	MCC	0.2795	0.254	0.305	0.0138
L1500_fragments	1500	TransGINmer	AUPRC	0.3874	0.3421	0.4307	0.0239
L1500_fragments	1500	TransGINmer	F1	0.2848	0.2601	0.3104	0.013
L1500_fragments	1500	TransGINmer	precision	0.1764	0.1588	0.1948	0.0094
L1500_fragments	1500	TransGINmer	recall	0.7387	0.6978	0.7799	0.0215
L1500_fragments	1500	VIBRANT	MCC	0.1716	0.1123	0.2232	0.0277
L1500_fragments	1500	VIBRANT	AUPRC	0.0935	0.0747	0.1138	0.0099
L1500_fragments	1500	VIBRANT	F1	0.1004	0.0616	0.137	0.0192
L1500_fragments	1500	VIBRANT	precision	0.6216	0.4483	0.7714	0.0823
L1500_fragments	1500	VIBRANT	recall	0.0546	0.0326	0.0759	0.011
L1500_fragments	1500	VirFinder	MCC	0.0906	0.0569	0.1217	0.0164
L1500_fragments	1500	VirFinder	AUPRC	0.0997	0.0803	0.1282	0.0123
L1500_fragments	1500	VirFinder	F1	0.1564	0.1255	0.1858	0.0155
L1500_fragments	1500	VirFinder	precision	0.1329	0.1049	0.1596	0.0139
L1500_fragments	1500	VirFinder	recall	0.19	0.1506	0.2273	0.0191
L1500_fragments	1500	VirSorter	MCC	0.2165	0.1705	0.2588	0.0227
L1500_fragments	1500	VirSorter	AUPRC	0.1097	0.0908	0.1302	0.0101
L1500_fragments	1500	VirSorter	F1	0.095	0.06	0.1328	0.0188
L1500_fragments	1500	VirSorter	precision	1.0	1.0	1.0	0.0
L1500_fragments	1500	VirSorter	recall	0.0499	0.031	0.0711	0.0104
L1500_fragments	1500	VirSorter2	MCC	0.2825	0.2367	0.3257	0.0224
L1500_fragments	1500	VirSorter2	AUPRC	0.1904	0.1539	0.2308	0.0193
L1500_fragments	1500	VirSorter2	F1	0.3264	0.283	0.3673	0.0215
L1500_fragments	1500	VirSorter2	precision	0.335	0.2897	0.3818	0.024
L1500_fragments	1500	VirSorter2	recall	0.3183	0.2734	0.3623	0.0231
L1500_fragments	1500	ViraLM	MCC	0.536	0.5082	0.5625	0.0139
L1500_fragments	1500	ViraLM	AUPRC	0.8109	0.7764	0.8414	0.0164
L1500_fragments	1500	ViraLM	F1	0.5144	0.4815	0.5456	0.0163
L1500_fragments	1500	ViraLM	precision	0.3546	0.3253	0.3839	0.015
L1500_fragments	1500	ViraLM	recall	0.9359	0.9113	0.9576	0.0119
L1500_fragments	1500	geNomad	MCC	0.6507	0.6128	0.6895	0.0202
L1500_fragments	1500	geNomad	AUPRC	0.4843	0.4381	0.5319	0.0251
L1500_fragments	1500	geNomad	F1	0.6371	0.595	0.6786	0.0221
L1500_fragments	1500	geNomad	precision	0.8966	0.8571	0.9364	0.0198
L1500_fragments	1500	geNomad	recall	0.4941	0.4489	0.5405	0.0243
L3000_fragments	3000	DeepVirFinder	MCC	0.1389	0.0955	0.1814	0.0216
L3000_fragments	3000	DeepVirFinder	AUPRC	0.1858	0.1358	0.2447	0.0281
L3000_fragments	3000	DeepVirFinder	F1	0.1952	0.1599	0.2308	0.0182
L3000_fragments	3000	DeepVirFinder	precision	0.1259	0.1016	0.1513	0.0129
L3000_fragments	3000	DeepVirFinder	recall	0.4341	0.3649	0.5047	0.035
L3000_fragments	3000	HVSeeker	MCC	-0.0091	-0.0437	0.0249	0.0175
L3000_fragments	3000	HVSeeker	AUPRC	0.0875	0.0685	0.1125	0.0112
L3000_fragments	3000	HVSeeker	F1	0.1068	0.0883	0.1269	0.0098
L3000_fragments	3000	HVSeeker	precision	0.0596	0.0487	0.0716	0.0058
L3000_fragments	3000	HVSeeker	recall	0.5171	0.4478	0.5879	0.035
L3000_fragments	3000	Jaeger	MCC	0.237	0.1908	0.2843	0.0239
L3000_fragments	3000	Jaeger	AUPRC	0.3874	0.3163	0.4576	0.0361
L3000_fragments	3000	Jaeger	F1	0.2782	0.2355	0.3226	0.0218
L3000_fragments	3000	Jaeger	precision	0.1939	0.161	0.2295	0.0173
L3000_fragments	3000	Jaeger	recall	0.4927	0.425	0.5641	0.0347
L3000_fragments	3000	MetaPhinder	MCC	0.0418	0.0076	0.0772	0.018
L3000_fragments	3000	MetaPhinder	AUPRC	0.0674	0.0569	0.0798	0.0055
L3000_fragments	3000	MetaPhinder	F1	0.1278	0.1013	0.155	0.013
L3000_fragments	3000	MetaPhinder	precision	0.0768	0.06	0.0945	0.0084
L3000_fragments	3000	MetaPhinder	recall	0.3805	0.3171	0.4444	0.0335
L3000_fragments	3000	PPR-Meta	MCC	0.1839	0.1378	0.2316	0.0246
L3000_fragments	3000	PPR-Meta	AUPRC	0.2585	0.1951	0.3321	0.0343
L3000_fragments	3000	PPR-Meta	F1	0.237	0.1939	0.2804	0.0222
L3000_fragments	3000	PPR-Meta	precision	0.1684	0.1365	0.2035	0.0175
L3000_fragments	3000	PPR-Meta	recall	0.4	0.3333	0.4712	0.0345
L3000_fragments	3000	Seeker	MCC	-0.0442	-0.0798	-0.0094	0.0177
L3000_fragments	3000	Seeker	AUPRC	0.0681	0.0538	0.0899	0.0096
L3000_fragments	3000	Seeker	F1	0.0949	0.0773	0.1127	0.0089
L3000_fragments	3000	Seeker	precision	0.0525	0.0425	0.0626	0.0052
L3000_fragments	3000	Seeker	recall	0.4927	0.4202	0.5609	0.0358
L3000_fragments	3000	Sourmash	MCC	0.0	0.0	0.0	0.0
L3000_fragments	3000	Sourmash	AUPRC	0.112	0.0817	0.1423	0.0156
L3000_fragments	3000	Sourmash	F1	0.0	0.0	0.0	0.0
L3000_fragments	3000	Sourmash	precision	0.0	0.0	0.0	0.0
L3000_fragments	3000	Sourmash	recall	0.0	0.0	0.0	0.0
L3000_fragments	3000	TransGINmer	MCC	0.375	0.3349	0.4115	0.0196
L3000_fragments	3000	TransGINmer	AUPRC	0.5685	0.5004	0.6339	0.0343
L3000_fragments	3000	TransGINmer	F1	0.3609	0.3208	0.3996	0.0205
L3000_fragments	3000	TransGINmer	precision	0.2307	0.2006	0.2608	0.0159
L3000_fragments	3000	TransGINmer	recall	0.8293	0.7756	0.8769	0.0259
L3000_fragments	3000	VIBRANT	MCC	0.3541	0.2798	0.4239	0.0372
L3000_fragments	3000	VIBRANT	AUPRC	0.1893	0.1404	0.2436	0.0265
L3000_fragments	3000	VIBRANT	F1	0.3345	0.259	0.406	0.0365
L3000_fragments	3000	VIBRANT	precision	0.6184	0.5	0.7232	0.0556
L3000_fragments	3000	VIBRANT	recall	0.2293	0.1712	0.2915	0.0295
L3000_fragments	3000	VirFinder	MCC	0.0967	0.0528	0.1398	0.0223
L3000_fragments	3000	VirFinder	AUPRC	0.1233	0.0893	0.1731	0.0218
L3000_fragments	3000	VirFinder	F1	0.1657	0.1274	0.2058	0.0198
L3000_fragments	3000	VirFinder	precision	0.118	0.0894	0.1493	0.0152
L3000_fragments	3000	VirFinder	recall	0.278	0.2174	0.3448	0.0319
L3000_fragments	3000	VirSorter	MCC	0.3304	0.2561	0.4042	0.0361
L3000_fragments	3000	VirSorter	AUPRC	0.1737	0.1281	0.2269	0.0244
L3000_fragments	3000	VirSorter	F1	0.2479	0.18	0.3218	0.0361
L3000_fragments	3000	VirSorter	precision	0.8108	0.6786	0.9259	0.0642
L3000_fragments	3000	VirSorter	recall	0.1463	0.1014	0.1981	0.0245
L3000_fragments	3000	VirSorter2	MCC	0.5006	0.4429	0.5607	0.0299
L3000_fragments	3000	VirSorter2	AUPRC	0.4413	0.3637	0.5198	0.0399
L3000_fragments	3000	VirSorter2	F1	0.5308	0.4756	0.5877	0.0288
L3000_fragments	3000	VirSorter2	precision	0.4699	0.4093	0.5362	0.0317
L3000_fragments	3000	VirSorter2	recall	0.6098	0.543	0.6755	0.0339
L3000_fragments	3000	ViraLM	MCC	0.6035	0.5658	0.6412	0.0194
L3000_fragments	3000	ViraLM	AUPRC	0.8517	0.8079	0.8898	0.0212
L3000_fragments	3000	ViraLM	F1	0.5865	0.5433	0.6308	0.0223
L3000_fragments	3000	ViraLM	precision	0.4239	0.3813	0.4711	0.0225
L3000_fragments	3000	ViraLM	recall	0.9512	0.9175	0.9792	0.016
L3000_fragments	3000	geNomad	MCC	0.6409	0.5956	0.6831	0.0222
L3000_fragments	3000	geNomad	AUPRC	0.7569	0.6922	0.8166	0.0319
L3000_fragments	3000	geNomad	F1	0.6471	0.5988	0.6916	0.0232
L3000_fragments	3000	geNomad	precision	0.5192	0.4635	0.5723	0.0267
L3000_fragments	3000	geNomad	recall	0.8585	0.8111	0.9016	0.0236
L5000_fragments	5000	DeepVirFinder	MCC	0.111	0.0601	0.1645	0.0269
L5000_fragments	5000	DeepVirFinder	AUPRC	0.1859	0.1277	0.2661	0.0365
L5000_fragments	5000	DeepVirFinder	F1	0.1717	0.1295	0.216	0.0215
L5000_fragments	5000	DeepVirFinder	precision	0.1076	0.0789	0.1378	0.0146
L5000_fragments	5000	DeepVirFinder	recall	0.425	0.3333	0.5185	0.047
L5000_fragments	5000	HVSeeker	MCC	-0.0307	-0.073	0.0133	0.0219
L5000_fragments	5000	HVSeeker	AUPRC	0.1123	0.0744	0.1671	0.0229
L5000_fragments	5000	HVSeeker	F1	0.097	0.0741	0.1211	0.0119
L5000_fragments	5000	HVSeeker	precision	0.0538	0.0406	0.0679	0.007
L5000_fragments	5000	HVSeeker	recall	0.4917	0.4035	0.5818	0.0455
L5000_fragments	5000	Jaeger	MCC	0.2678	0.2006	0.3291	0.0338
L5000_fragments	5000	Jaeger	AUPRC	0.4169	0.3202	0.5136	0.0487
L5000_fragments	5000	Jaeger	F1	0.3089	0.244	0.3655	0.0316
L5000_fragments	5000	Jaeger	precision	0.2289	0.1734	0.278	0.0268
L5000_fragments	5000	Jaeger	recall	0.475	0.3845	0.5656	0.0467
L5000_fragments	5000	MetaPhinder	MCC	0.0776	0.0234	0.1299	0.0266
L5000_fragments	5000	MetaPhinder	AUPRC	0.0722	0.0573	0.0901	0.0086
L5000_fragments	5000	MetaPhinder	F1	0.1495	0.1053	0.1912	0.0223
L5000_fragments	5000	MetaPhinder	precision	0.0987	0.0687	0.1287	0.0157
L5000_fragments	5000	MetaPhinder	recall	0.3083	0.2212	0.3929	0.0433
L5000_fragments	5000	PPR-Meta	MCC	0.2198	0.151	0.2859	0.0345
L5000_fragments	5000	PPR-Meta	AUPRC	0.2951	0.2083	0.3976	0.0474
L5000_fragments	5000	PPR-Meta	F1	0.2685	0.2044	0.3301	0.0319
L5000_fragments	5000	PPR-Meta	precision	0.2	0.1462	0.2521	0.0266
L5000_fragments	5000	PPR-Meta	recall	0.4083	0.314	0.5	0.0467
L5000_fragments	5000	Seeker	MCC	-0.0711	-0.1164	-0.0273	0.0227
L5000_fragments	5000	Seeker	AUPRC	0.0747	0.0529	0.1187	0.0167
L5000_fragments	5000	Seeker	F1	0.0843	0.0622	0.1053	0.0109
L5000_fragments	5000	Seeker	precision	0.0464	0.034	0.0586	0.0063
L5000_fragments	5000	Seeker	recall	0.4583	0.367	0.547	0.0464
L5000_fragments	5000	Sourmash	MCC	0.0	0.0	0.0	0.0
L5000_fragments	5000	Sourmash	AUPRC	0.17	0.1154	0.2325	0.0293
L5000_fragments	5000	Sourmash	F1	0.0	0.0	0.0	0.0
L5000_fragments	5000	Sourmash	precision	0.0	0.0	0.0	0.0
L5000_fragments	5000	Sourmash	recall	0.0	0.0	0.0	0.0
L5000_fragments	5000	TransGINmer	MCC	0.4113	0.3573	0.4639	0.0264
L5000_fragments	5000	TransGINmer	AUPRC	0.6409	0.5515	0.723	0.0417
L5000_fragments	5000	TransGINmer	F1	0.3953	0.3397	0.4493	0.0278
L5000_fragments	5000	TransGINmer	precision	0.2583	0.2146	0.3023	0.0223
L5000_fragments	5000	TransGINmer	recall	0.8417	0.7705	0.9091	0.0345
L5000_fragments	5000	VIBRANT	MCC	0.457	0.3667	0.5428	0.0453
L5000_fragments	5000	VIBRANT	AUPRC	0.2694	0.1953	0.3518	0.0407
L5000_fragments	5000	VIBRANT	F1	0.453	0.3602	0.5393	0.0461
L5000_fragments	5000	VIBRANT	precision	0.6721	0.5625	0.7812	0.0577
L5000_fragments	5000	VIBRANT	recall	0.3417	0.259	0.4298	0.0437
L5000_fragments	5000	VirFinder	MCC	0.1502	0.0839	0.2128	0.0324
L5000_fragments	5000	VirFinder	AUPRC	0.1515	0.0984	0.2311	0.033
L5000_fragments	5000	VirFinder	F1	0.2093	0.1512	0.2698	0.03
L5000_fragments	5000	VirFinder	precision	0.1607	0.112	0.2113	0.0251
L5000_fragments	5000	VirFinder	recall	0.3	0.2155	0.3883	0.0426
L5000_fragments	5000	VirSorter	MCC	0.3906	0.2947	0.4801	0.0484
L5000_fragments	5000	VirSorter	AUPRC	0.2368	0.1663	0.3152	0.0395
L5000_fragments	5000	VirSorter	F1	0.3522	0.2516	0.4444	0.0491
L5000_fragments	5000	VirSorter	precision	0.7179	0.575	0.8511	0.0738
L5000_fragments	5000	VirSorter	recall	0.2333	0.1589	0.3107	0.0391
L5000_fragments	5000	VirSorter2	MCC	0.6707	0.6003	0.7334	0.0345
L5000_fragments	5000	VirSorter2	AUPRC	0.5497	0.453	0.6549	0.0537
L5000_fragments	5000	VirSorter2	F1	0.6894	0.6204	0.7492	0.0333
L5000_fragments	5000	VirSorter2	precision	0.6319	0.5481	0.7133	0.0417
L5000_fragments	5000	VirSorter2	recall	0.7583	0.6807	0.8319	0.0388
L5000_fragments	5000	ViraLM	MCC	0.6519	0.6004	0.7027	0.0257
L5000_fragments	5000	ViraLM	AUPRC	0.9106	0.8669	0.9467	0.0198
L5000_fragments	5000	ViraLM	F1	0.6374	0.5765	0.6944	0.03
L5000_fragments	5000	ViraLM	precision	0.4754	0.4122	0.5397	0.0324
L5000_fragments	5000	ViraLM	recall	0.9667	0.9297	0.992	0.0164
L5000_fragments	5000	geNomad	MCC	0.7325	0.68	0.784	0.0262
L5000_fragments	5000	geNomad	AUPRC	0.7957	0.7092	0.8758	0.0426
