length_bin	length_bp	tool	TP	FP	TN	FN	precision	recall	specificity	FPR	F1	MCC	AUPRC	n_predicted	n_total	note
L1500	1500	TransGINmer	311	1452	4816	110	0.1764	0.7387	0.7683	0.2317	0.2848	0.2795	0.3874	1763	6689	thr=0.5
L1500	1500	ViraLM	394	717	5551	27	0.3546	0.9359	0.8856	0.1144	0.5144	0.536	0.8109	1111	6689	thr=0.5
L3000	3000	DeepVirFinder	89	618	2505	116	0.1259	0.4341	0.8021	0.1979	0.1952	0.1389	0.1858	707	3328	thr=0.5 (+ pvalue < 0.05)
L3000	3000	VirSorter	30	7	3116	175	0.8108	0.1463	0.9978	0.0022	0.2479	0.3304	0.1737	37	3328	thr=0.5
L3000	3000	VirSorter2	125	141	2982	80	0.4699	0.6098	0.9549	0.0451	0.5308	0.5006	0.4413	266	3328	thr=0.5
L3000	3000	VirFinder	57	426	2697	148	0.118	0.278	0.8636	0.1364	0.1657	0.0967	0.1233	483	3328	thr=0.5 (+ pvalue < 0.05)
L3000	3000	PPR-Meta	82	405	2718	123	0.1684	0.4	0.8703	0.1297	0.237	0.1839	0.2585	487	3328	thr=0.5
L3000	3000	VIBRANT	47	29	3094	158	0.6184	0.2293	0.9907	0.0093	0.3345	0.3541	0.1893	76	3328	thr=0.5
L3000	3000	Seeker	101	1822	1301	104	0.0525	0.4927	0.4166	0.5834	0.0949	-0.0442	0.0681	1923	3328	thr=0.5
L3000	3000	MetaPhinder	78	938	2185	127	0.0768	0.3805	0.6996	0.3004	0.1278	0.0418	0.0674	1016	3328	thr=0.5
L3000	3000	Sourmash	0	0	3123	205	0.0	0.0	1.0	0.0	0.0	0.0	0.112	0	3328	thr=0.5
L3000	3000	geNomad	176	163	2960	29	0.5192	0.8585	0.9478	0.0522	0.6471	0.6409	0.7569	339	3328	thr=0.7
L3000	3000	HVSeeker	106	1674	1449	99	0.0596	0.5171	0.464	0.536	0.1068	-0.0091	0.0875	1780	3328	thr=0.5
L3000	3000	Jaeger	101	420	2703	104	0.1939	0.4927	0.8655	0.1345	0.2782	0.237	0.3874	521	3328	thr=0.5
L3000	3000	TransGINmer	170	567	2556	35	0.2307	0.8293	0.8184	0.1816	0.3609	0.375	0.5685	737	3328	thr=0.5
L3000	3000	ViraLM	195	265	2858	10	0.4239	0.9512	0.9151	0.0849	0.5865	0.6035	0.8517	460	3328	thr=0.5
L5000	5000	DeepVirFinder	51	423	1445	69	0.1076	0.425	0.7736	0.2264	0.1717	0.111	0.1859	474	1988	thr=0.5 (+ pvalue < 0.05)
L5000	5000	VirSorter	28	11	1857	92	0.7179	0.2333	0.9941	0.0059	0.3522	0.3906	0.2368	39	1988	thr=0.5
L5000	5000	VirSorter2	91	53	1815	29	0.6319	0.7583	0.9716	0.0284	0.6894	0.6707	0.5497	144	1988	thr=0.5
L5000	5000	VirFinder	36	188	1680	84	0.1607	0.3	0.8994	0.1006	0.2093	0.1502	0.1515	224	1988	thr=0.5 (+ pvalue < 0.05)
L5000	5000	PPR-Meta	49	196	1672	71	0.2	0.4083	0.8951	0.1049	0.2685	0.2198	0.2951	245	1988	thr=0.5
L5000	5000	VIBRANT	41	20	1848	79	0.6721	0.3417	0.9893	0.0107	0.453	0.457	0.2694	61	1988	thr=0.5
L5000	5000	Seeker	55	1130	738	65	0.0464	0.4583	0.3951	0.6049	0.0843	-0.0711	0.0747	1185	1988	thr=0.5
L5000	5000	MetaPhinder	37	338	1530	83	0.0987	0.3083	0.8191	0.1809	0.1495	0.0776	0.0722	375	1988	thr=0.5
L5000	5000	Sourmash	0	0	1868	120	0.0	0.0	1.0	0.0	0.0	0.0	0.17	0	1988	thr=0.5
L5000	5000	geNomad	111	71	1797	9	0.6099	0.925	0.962	0.038	0.7351	0.7325	0.7957	182	1988	thr=0.7
L5000	5000	HVSeeker	59	1038	830	61	0.0538	0.4917	0.4443	0.5557	0.097	-0.0307	0.1123	1097	1988	thr=0.5
L5000	5000	Jaeger	57	192	1676	63	0.2289	0.475	0.8972	0.1028	0.3089	0.2678	0.4169	249	1988	thr=0.5
L5000	5000	TransGINmer	101	290	1578	19	0.2583	0.8417	0.8448	0.1552	0.3953	0.4113	0.6409	391	1988	thr=0.5
L5000	5000	ViraLM	116	128	1740	4	0.4754	0.9667	0.9315	0.0685	0.6374	0.6519	0.9106	244	1988	thr=0.5
L10000	10000	DeepVirFinder	24	223	704	32	0.0972	0.4286	0.7594	0.2406	0.1584	0.1005	0.1632	247	983	thr=0.5 (+ pvalue < 0.05)
L10000	10000	VirSorter	22	14	913	34	0.6111	0.3929	0.9849	0.0151	0.4783	0.4661	0.3342	36	983	thr=0.5
L10000	10000	VirSorter2	45	19	908	11	0.7031	0.8036	0.9795	0.0205	0.75	0.7357	0.6098	64	983	thr=0.5
L10000	10000	VirFinder	16	61	866	40	0.2078	0.2857	0.9342	0.0658	0.2406	0.1897	0.1985	77	983	thr=0.5 (+ pvalue < 0.05)
L10000	10000	PPR-Meta	20	78	849	36	0.2041	0.3571	0.9159	0.0841	0.2597	0.2112	0.3	98	983	thr=0.5
L10000	10000	VIBRANT	22	6	921	34	0.7857	0.3929	0.9935	0.0065	0.5238	0.5384	0.3433	28	983	thr=0.5
L10000	10000	Seeker	20	568	359	36	0.034	0.3571	0.3873	0.6127	0.0621	-0.1208	0.0857	588	983	thr=0.5
L10000	10000	MetaPhinder	19	203	724	37	0.0856	0.3393	0.781	0.219	0.1367	0.0667	0.0667	222	983	thr=0.5
L10000	10000	Sourmash	0	0	927	56	0.0	0.0	1.0	0.0	0.0	0.0	0.158	0	983	thr=0.5
L10000	10000	geNomad	53	32	895	3	0.6235	0.9464	0.9655	0.0345	0.7518	0.752	0.8286	85	983	thr=0.7
L10000	10000	HVSeeker	27	537	390	29	0.0479	0.4821	0.4207	0.5793	0.0871	-0.0455	0.1258	564	983	thr=0.5
L10000	10000	Jaeger	25	77	850	31	0.2451	0.4464	0.9169	0.0831	0.3165	0.2762	0.4253	102	983	thr=0.5
L10000	10000	TransGINmer	47	95	832	9	0.331	0.8393	0.8975	0.1025	0.4747	0.4858	0.7185	142	983	thr=0.5
L10000	10000	ViraLM	55	44	883	1	0.5556	0.9821	0.9525	0.0475	0.7097	0.7199	0.9455	99	983	thr=0.5
