background	coverage	tool	recall	precision	MCC	F1	n_viral
UC093_V3	5	VirFinder	0.3143	0.0148	0.0396	0.0283	35
UC093_V3	5	PPR-Meta	0.4286	0.0253	0.0808	0.0477	35
UC093_V3	5	VIBRANT	0.1429	0.0388	0.0622	0.061	35
UC093_V3	5	Seeker	0.4857	0.0058	-0.0155	0.0115	35
UC093_V3	5	MetaPhinder	0.4	0.0134	0.0399	0.0259	35
UC093_V3	5	Sourmash	0.0	0.0	0.0	0.0	35
UC093_V3	5	geNomad	0.5143	0.0602	0.1612	0.1078	35
UC093_V3	5	HVSeeker	0.6286	0.0087	0.0215	0.0171	35
UC093_V3	5	Jaeger	0.1143	0.0047	-0.0117	0.0091	35
UC093_V3	5	TransGINmer	0.8857	0.0161	0.087	0.0316	35
UC093_V3	5	ViraLM	0.9714	0.0351	0.1656	0.0678	35
UC093_V3	10	DeepVirFinder	0.3786	0.0228	0.0141	0.043	103
UC093_V3	10	VirSorter	0.1942	0.2	0.1809	0.197	103
UC093_V3	10	VirSorter2	0.5825	0.1432	0.2619	0.2299	103
UC093_V3	10	VirFinder	0.2233	0.0306	0.0313	0.0538	103
UC093_V3	10	PPR-Meta	0.3495	0.0581	0.1006	0.0996	103
UC093_V3	10	VIBRANT	0.2136	0.1571	0.1637	0.1811	103
UC093_V3	10	Seeker	0.4466	0.0155	-0.0373	0.03	103
UC093_V3	10	MetaPhinder	0.2816	0.0273	0.0265	0.0497	103
UC093_V3	10	Sourmash	0.0	0.0	0.0	0.0	103
UC093_V3	10	geNomad	0.7767	0.2204	0.3941	0.3433	103
UC093_V3	10	HVSeeker	0.4757	0.0191	-0.0065	0.0367	103
UC093_V3	10	Jaeger	0.3495	0.041	0.0679	0.0733	103
UC093_V3	10	TransGINmer	0.835	0.0434	0.1322	0.0825	103
UC093_V3	10	ViraLM	0.9903	0.0982	0.2807	0.1786	103
UC093_V3	50	DeepVirFinder	0.4516	0.0083	0.0199	0.0163	31
UC093_V3	50	VirSorter	0.2581	0.0964	0.1494	0.1404	31
UC093_V3	50	VirSorter2	0.7742	0.0632	0.2083	0.1168	31
UC093_V3	50	VirFinder	0.1935	0.0081	0.0105	0.0155	31
UC093_V3	50	PPR-Meta	0.3871	0.0204	0.0664	0.0388	31
UC093_V3	50	VIBRANT	0.1935	0.0458	0.0829	0.0741	31
UC093_V3	50	Seeker	0.4516	0.0048	-0.0199	0.0095	31
UC093_V3	50	MetaPhinder	0.1613	0.0048	-0.0085	0.0093	31
UC093_V3	50	Sourmash	0.0645	1.0	0.2533	0.1212	31
UC093_V3	50	geNomad	0.8065	0.082	0.2462	0.1488	31
UC093_V3	50	HVSeeker	0.4839	0.0059	-0.0023	0.0117	31
UC093_V3	50	Jaeger	0.4194	0.0152	0.0524	0.0293	31
UC093_V3	50	TransGINmer	0.9355	0.015	0.0898	0.0296	31
UC093_V3	50	ViraLM	1.0	0.0322	0.1621	0.0624	31
