tool	category	n_fragments	TP	FP	TN	FN	precision	recall	specificity	FPR	F1	MCC	AUPRC
TransGINmer	gardnerella_phage	33	20	0	0	13	1.0	0.6061	NA	NA	0.7547	0.0	1.0
TransGINmer	herpesvirus	204	165	0	0	39	1.0	0.8088	NA	NA	0.8943	0.0	1.0
TransGINmer	hpv	20	20	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
TransGINmer	lactobacillus_phage	50	31	0	0	19	1.0	0.62	NA	NA	0.7654	0.0	1.0
TransGINmer	megasphaera_phage	59	35	0	0	24	1.0	0.5932	NA	NA	0.7447	0.0	1.0
TransGINmer	negative_control	6268	0	1452	4816	0	0.0	0.0	0.7683	0.2317	0.0	0.0	0.0
TransGINmer	sneathia_phage	26	18	0	0	8	1.0	0.6923	NA	NA	0.8182	0.0	1.0
ViraLM	anellovirus	2	2	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
ViraLM	fannyhessea_phage	27	23	0	0	4	1.0	0.8519	NA	NA	0.92	0.0	1.0
ViraLM	gardnerella_phage	33	21	0	0	12	1.0	0.6364	NA	NA	0.7778	0.0	1.0
ViraLM	herpesvirus	204	204	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
ViraLM	hpv	20	20	0	0	0	1.0	1.0	NA	NA	1.0	0.0	1.0
ViraLM	lactobacillus_phage	50	49	0	0	1	1.0	0.98	NA	NA	0.9899	0.0	1.0
ViraLM	megasphaera_phage	59	50	0	0	9	1.0	0.8475	NA	NA	0.9174	0.0	1.0
ViraLM	negative_control	6268	0	717	5551	0	0.0	0.0	0.8856	0.1144	0.0	0.0	0.0
ViraLM	sneathia_phage	26	25	0	0	1	1.0	0.9615	NA	NA	0.9804	0.0	1.0
