background	stratum	tool	MCC	precision	recall	n_viral	n_negative
SRR35936354	CST-I	VirSorter	0.26571748801631007	0.8	0.13333333333333333	120	366
SRR35936354	CST-I	VirSorter2	0.659501341919566	0.8690476190476191	0.6083333333333333	120	366
SRR35936354	CST-I	VirFinder	0.2973028830397804	0.675	0.225	120	366
SRR35936354	CST-I	PPR-Meta	0.38461495321438915	0.647887323943662	0.38333333333333336	120	366
SRR35936354	CST-I	VIBRANT	0.3846437568349851	0.8333333333333334	0.25	120	366
SRR35936354	CST-I	Seeker	-0.381209433721494	0.15591397849462366	0.48333333333333334	120	366
SRR35936354	CST-I	MetaPhinder	0.21780838081822662	0.4523809523809524	0.31666666666666665	120	366
SRR35936354	CST-I	Sourmash	0.0	0.0	0.0	120	366
SRR35936354	CST-I	geNomad	0.8072508787636202	0.8981481481481481	0.8083333333333333	120	366
SRR35936354	CST-I	HVSeeker	-0.1656525258384648	0.19756838905775076	0.5416666666666666	120	366
SRR35936354	CST-I	Jaeger	0.48845977079974234	0.8135593220338984	0.4	120	366
SRR35936354	CST-I	TransGINmer	0.18719063174020853	0.31186440677966104	0.7666666666666667	120	366
SRR35936354	CST-I	ViraLM	0.7411471060798824	0.688622754491018	0.9583333333333334	120	366
SRR27287985	CST-I	DeepVirFinder	0.1848603441167015	0.42342342342342343	0.3949579831932773	119	299
SRR27287985	CST-I	VirSorter	0.2430023670567364	0.7391304347826086	0.14285714285714285	119	299
SRR27287985	CST-I	VirSorter2	0.5813432281210209	0.7684210526315789	0.6134453781512605	119	299
SRR27287985	CST-I	VirFinder	0.2732014787255723	0.6585365853658537	0.226890756302521	119	299
SRR27287985	CST-I	PPR-Meta	0.35805012709381795	0.6388888888888888	0.3865546218487395	119	299
SRR27287985	CST-I	VIBRANT	0.34465820051484364	0.7837837837837838	0.24369747899159663	119	299
SRR27287985	CST-I	Seeker	-0.3588230140959817	0.18971061093247588	0.4957983193277311	119	299
SRR27287985	CST-I	MetaPhinder	0.11843953533923461	0.38	0.31932773109243695	119	299
SRR27287985	CST-I	Sourmash	0.0	0.0	0.0	119	299
SRR27287985	CST-I	geNomad	0.8020739814356365	0.9056603773584906	0.8067226890756303	119	299
SRR27287985	CST-I	HVSeeker	-0.23637625849441543	0.2150170648464164	0.5294117647058824	119	299
SRR27287985	CST-I	Jaeger	0.3800560983953882	0.6575342465753424	0.40336134453781514	119	299
SRR27287985	CST-I	TransGINmer	0.7048597356510851	0.7948717948717948	0.7815126050420168	119	299
SRR27287985	CST-I	ViraLM	0.8766343498928021	0.8702290076335878	0.957983193277311	119	299
SRR27287964	CST-IV-B	DeepVirFinder	-0.00684444049027772	0.03589315525876461	0.3706896551724138	116	2975
SRR27287964	CST-IV-B	VirSorter	0.27250694001571446	0.42592592592592593	0.19827586206896552	116	2975
SRR27287964	CST-IV-B	VirSorter2	0.4205927043418507	0.3382352941176471	0.5948275862068966	116	2975
SRR27287964	CST-IV-B	VirFinder	0.027458673665927136	0.04930966469428008	0.21551724137931033	116	2975
SRR27287964	CST-IV-B	PPR-Meta	0.11918806938829644	0.09433962264150944	0.3448275862068966	116	2975
SRR27287964	CST-IV-B	VIBRANT	0.24544095739800154	0.3333333333333333	0.21551724137931033	116	2975
SRR27287964	CST-IV-B	Seeker	-0.04677319480572112	0.03	0.46551724137931033	116	2975
SRR27287964	CST-IV-B	MetaPhinder	0.07234354327014039	0.06991525423728813	0.28448275862068967	116	2975
SRR27287964	CST-IV-B	Sourmash	0.0	0.0	0.0	116	2975
SRR27287964	CST-IV-B	geNomad	0.5549219755671964	0.4232558139534884	0.7844827586206896	116	2975
SRR27287964	CST-IV-B	HVSeeker	0.0044090378693285755	0.03838517538054269	0.5	116	2975
SRR27287964	CST-IV-B	Jaeger	0.08601727963825795	0.0711864406779661	0.3620689655172414	116	2975
SRR27287964	CST-IV-B	TransGINmer	0.16152732283823162	0.07506053268765134	0.8017241379310345	116	2975
SRR27287964	CST-IV-B	ViraLM	0.3428574754044624	0.15598885793871867	0.9655172413793104	116	2975
SRR27287966	CST-IV-B	DeepVirFinder	0.0988457467196785	0.9574468085106383	0.40540540540540543	111	9
SRR27287966	CST-IV-B	VirSorter	0.08585457105482137	1.0	0.09009009009009009	111	9
SRR27287966	CST-IV-B	VirSorter2	0.24907828542960225	0.974025974025974	0.6756756756756757	111	9
SRR27287966	CST-IV-B	VirFinder	0.15708867165969442	1.0	0.25225225225225223	111	9
SRR27287966	CST-IV-B	PPR-Meta	0.14680773114724902	0.9767441860465116	0.3783783783783784	111	9
SRR27287966	CST-IV-B	VIBRANT	0.09577199407052357	0.967741935483871	0.2702702702702703	111	9
SRR27287966	CST-IV-B	Seeker	-0.07610194341477615	0.90625	0.5225225225225225	111	9
SRR27287966	CST-IV-B	MetaPhinder	0.17170914210964275	1.0	0.2882882882882883	111	9
SRR27287966	CST-IV-B	Sourmash	0.0	0.0	0.0	111	9
SRR27287966	CST-IV-B	geNomad	0.3769365321239214	0.978494623655914	0.8198198198198198	111	9
SRR27287966	CST-IV-B	HVSeeker	-0.003179798927956347	0.9242424242424242	0.5495495495495496	111	9
SRR27287966	CST-IV-B	Jaeger	0.1679132559632945	0.9791666666666666	0.42342342342342343	111	9
SRR27287966	CST-IV-B	TransGINmer	-0.1386557282552304	0.9072164948453608	0.7927927927927928	111	9
SRR27287966	CST-IV-B	ViraLM	0.4323941980650273	0.9629629629629629	0.9369369369369369	111	9
SRR35936363	CST-IV-B	DeepVirFinder	0.11498281568183166	0.352	0.3826086956521739	115	306
SRR35936363	CST-IV-B	VirSorter	0.2856463381714855	0.75	0.1826086956521739	115	306
SRR35936363	CST-IV-B	VirSorter2	0.6025705235517119	0.7954545454545454	0.6086956521739131	115	306
SRR35936363	CST-IV-B	VirFinder	0.25375881343809076	0.6	0.23478260869565218	115	306
SRR35936363	CST-IV-B	PPR-Meta	0.3218305291904168	0.5915492957746479	0.3652173913043478	115	306
SRR35936363	CST-IV-B	VIBRANT	0.2939886343309981	0.6666666666666666	0.24347826086956523	115	306
SRR35936363	CST-IV-B	Seeker	-0.4170857033800097	0.16875	0.46956521739130436	115	306
SRR35936363	CST-IV-B	MetaPhinder	0.09374024584587262	0.35106382978723405	0.28695652173913044	115	306
SRR35936363	CST-IV-B	Sourmash	0.0	0.0	0.0	115	306
SRR35936363	CST-IV-B	geNomad	0.7440790467926276	0.8411214953271028	0.782608695652174	115	306
SRR35936363	CST-IV-B	HVSeeker	-0.10223800545739199	0.23622047244094488	0.5217391304347826	115	306
SRR35936363	CST-IV-B	Jaeger	0.40456588675875865	0.7241379310344828	0.3652173913043478	115	306
SRR35936363	CST-IV-B	TransGINmer	0.1154774972330112	0.30564784053156147	0.8	115	306
SRR35936363	CST-IV-B	ViraLM	0.6727541212811122	0.6285714285714286	0.9565217391304348	115	306
SRR34514383	CST-IV-B	DeepVirFinder	0.2125260796937577	0.32786885245901637	0.3883495145631068	103	508
SRR34514383	CST-IV-B	VirSorter	0.2690206542532459	0.6666666666666666	0.1553398058252427	103	508
SRR34514383	CST-IV-B	VirSorter2	0.6178649558661992	0.7560975609756098	0.6019417475728155	103	508
SRR34514383	CST-IV-B	VirFinder	0.26944743460772586	0.5102040816326531	0.24271844660194175	103	508
SRR34514383	CST-IV-B	PPR-Meta	0.3784883056139897	0.5757575757575758	0.36893203883495146	103	508
SRR34514383	CST-IV-B	VIBRANT	0.38216466477827543	0.8214285714285714	0.22330097087378642	103	508
SRR34514383	CST-IV-B	Seeker	-0.2488659949052032	0.1130820399113082	0.49514563106796117	103	508
SRR34514383	CST-IV-B	MetaPhinder	0.009768354657829754	0.1744186046511628	0.2912621359223301	103	508
SRR34514383	CST-IV-B	Sourmash	0.0	0.0	0.0	103	508
SRR34514383	CST-IV-B	geNomad	0.7773278748831575	0.851063829787234	0.7766990291262136	103	508
SRR34514383	CST-IV-B	HVSeeker	-0.10909197606473181	0.13550135501355012	0.4854368932038835	103	508
SRR34514383	CST-IV-B	Jaeger	0.40601638171288074	0.6379310344827587	0.3592233009708738	103	508
SRR34514383	CST-IV-B	TransGINmer	0.3292734451793517	0.30943396226415093	0.7961165048543689	103	508
SRR34514383	CST-IV-B	ViraLM	0.8510146931055503	0.7936507936507936	0.970873786407767	103	508
