background	stratum	tool	MCC	precision	recall	n_viral	n_negative	n_excluded_native	TP	FP	TN	FN
SRR35936354	CST-I	VirSorter2	0.659501341919566	0.8690476190476191	0.6083333333333333	120	366	0	73	11	355	47
SRR35936354	CST-I	VirFinder	0.2973028830397804	0.675	0.225	120	366	0	27	13	353	93
SRR35936354	CST-I	PPR-Meta	0.38461495321438915	0.647887323943662	0.38333333333333336	120	366	0	46	25	341	74
SRR35936354	CST-I	VIBRANT	0.3846437568349851	0.8333333333333334	0.25	120	366	0	30	6	360	90
SRR35936354	CST-I	Seeker	-0.381209433721494	0.15591397849462366	0.48333333333333334	120	366	0	58	314	52	62
SRR35936354	CST-I	MetaPhinder	0.21780838081822662	0.4523809523809524	0.31666666666666665	120	366	0	38	46	320	82
SRR35936354	CST-I	Sourmash	0.0	0.0	0.0	120	366	0	0	0	366	120
SRR35936354	CST-I	geNomad	0.8072508787636202	0.8981481481481481	0.8083333333333333	120	366	0	97	11	355	23
SRR35936354	CST-I	HVSeeker	-0.1656525258384648	0.19756838905775076	0.5416666666666666	120	366	0	65	264	102	55
SRR35936354	CST-I	Jaeger	0.48845977079974234	0.8135593220338984	0.4	120	366	0	48	11	355	72
SRR35936354	CST-I	TransGINmer	0.18719063174020853	0.31186440677966104	0.7666666666666667	120	366	0	92	203	163	28
SRR35936354	CST-I	ViraLM	0.7411471060798824	0.688622754491018	0.9583333333333334	120	366	0	115	52	314	5
SRR27287985	CST-I	DeepVirFinder	0.1848603441167015	0.42342342342342343	0.3949579831932773	119	299	0	47	64	235	72
SRR27287985	CST-I	VirSorter	0.2430023670567364	0.7391304347826086	0.14285714285714285	119	299	0	17	6	293	102
SRR27287985	CST-I	VirSorter2	0.5813432281210209	0.7684210526315789	0.6134453781512605	119	299	0	73	22	277	46
SRR27287985	CST-I	VirFinder	0.2732014787255723	0.6585365853658537	0.226890756302521	119	299	0	27	14	285	92
SRR27287985	CST-I	PPR-Meta	0.35805012709381795	0.6388888888888888	0.3865546218487395	119	299	0	46	26	273	73
SRR27287985	CST-I	VIBRANT	0.34465820051484364	0.7837837837837838	0.24369747899159663	119	299	0	29	8	291	90
SRR27287985	CST-I	Seeker	-0.3588230140959817	0.18971061093247588	0.4957983193277311	119	299	0	59	252	47	60
SRR27287985	CST-I	MetaPhinder	0.11843953533923461	0.38	0.31932773109243695	119	299	0	38	62	237	81
SRR27287985	CST-I	Sourmash	0.0	0.0	0.0	119	299	0	0	0	299	119
SRR27287985	CST-I	geNomad	0.8020739814356365	0.9056603773584906	0.8067226890756303	119	299	0	96	10	289	23
SRR27287985	CST-I	HVSeeker	-0.23637625849441543	0.2150170648464164	0.5294117647058824	119	299	0	63	230	69	56
SRR27287985	CST-I	Jaeger	0.3800560983953882	0.6575342465753424	0.40336134453781514	119	299	0	48	25	274	71
SRR27287985	CST-I	TransGINmer	0.7048597356510851	0.7948717948717948	0.7815126050420168	119	299	0	93	24	275	26
SRR27287985	CST-I	ViraLM	0.8766343498928021	0.8702290076335878	0.957983193277311	119	299	0	114	17	282	5
SRR27287964	CST-IV-B	DeepVirFinder	-0.00637954378175202	0.03508771929824561	0.37168141592920356	113	2975	3	42	1155	1820	71
SRR27287964	CST-IV-B	VirSorter	0.27663333686447167	0.42592592592592593	0.20353982300884957	113	2975	3	23	31	2944	90
SRR27287964	CST-IV-B	VirSorter2	0.421543569672147	0.33497536945812806	0.6017699115044248	113	2975	3	68	135	2840	45
SRR27287964	CST-IV-B	VirFinder	0.030017101785631474	0.04930966469428008	0.22123893805309736	113	2975	3	25	482	2493	88
SRR27287964	CST-IV-B	PPR-Meta	0.11798654538527197	0.09219858156028368	0.34513274336283184	113	2975	3	39	384	2591	74
SRR27287964	CST-IV-B	VIBRANT	0.24934567764101745	0.3333333333333333	0.22123893805309736	113	2975	3	25	50	2925	88
SRR27287964	CST-IV-B	Seeker	-0.04824105573536918	0.028921023359288096	0.46017699115044247	113	2975	3	52	1746	1229	61
SRR27287964	CST-IV-B	MetaPhinder	0.07082770142985009	0.06794055201698514	0.2831858407079646	113	2975	3	32	439	2536	81
SRR27287964	CST-IV-B	Sourmash	0.0	0.0	0.0	113	2975	3	0	0	2975	113
SRR27287964	CST-IV-B	geNomad	0.5633497582232149	0.4232558139534884	0.8053097345132744	113	2975	3	91	124	2851	22
SRR27287964	CST-IV-B	HVSeeker	-0.0006301837249792159	0.03647214854111406	0.48672566371681414	113	2975	3	55	1453	1522	58
SRR27287964	CST-IV-B	Jaeger	0.08536832527296469	0.06960950764006792	0.36283185840707965	113	2975	3	41	548	2427	72
SRR27287964	CST-IV-B	TransGINmer	0.16770774932225585	0.07506053268765134	0.8230088495575221	113	2975	3	93	1146	1829	20
SRR27287964	CST-IV-B	ViraLM	0.346237139527404	0.15481171548117154	0.9823008849557522	113	2975	3	111	606	2369	2
SRR27287966	CST-IV-B	DeepVirFinder	0.0988457467196785	0.9574468085106383	0.40540540540540543	111	9	0	45	2	7	66
SRR27287966	CST-IV-B	VirSorter	0.08585457105482137	1.0	0.09009009009009009	111	9	0	10	0	9	101
SRR27287966	CST-IV-B	VirSorter2	0.24907828542960225	0.974025974025974	0.6756756756756757	111	9	0	75	2	7	36
SRR27287966	CST-IV-B	VirFinder	0.15708867165969442	1.0	0.25225225225225223	111	9	0	28	0	9	83
SRR27287966	CST-IV-B	PPR-Meta	0.14680773114724902	0.9767441860465116	0.3783783783783784	111	9	0	42	1	8	69
SRR27287966	CST-IV-B	VIBRANT	0.09577199407052357	0.967741935483871	0.2702702702702703	111	9	0	30	1	8	81
SRR27287966	CST-IV-B	Seeker	-0.07610194341477615	0.90625	0.5225225225225225	111	9	0	58	6	3	53
SRR27287966	CST-IV-B	MetaPhinder	0.17170914210964275	1.0	0.2882882882882883	111	9	0	32	0	9	79
SRR27287966	CST-IV-B	Sourmash	0.0	0.0	0.0	111	9	0	0	0	9	111
SRR27287966	CST-IV-B	geNomad	0.3769365321239214	0.978494623655914	0.8198198198198198	111	9	0	91	2	7	20
SRR27287966	CST-IV-B	HVSeeker	-0.003179798927956347	0.9242424242424242	0.5495495495495496	111	9	0	61	5	4	50
SRR27287966	CST-IV-B	Jaeger	0.1679132559632945	0.9791666666666666	0.42342342342342343	111	9	0	47	1	8	64
SRR27287966	CST-IV-B	TransGINmer	-0.1386557282552304	0.9072164948453608	0.7927927927927928	111	9	0	88	9	0	23
SRR27287966	CST-IV-B	ViraLM	0.4323941980650273	0.9629629629629629	0.9369369369369369	111	9	0	104	4	5	7
SRR35936363	CST-IV-B	DeepVirFinder	0.12396634312960542	0.352	0.39285714285714285	112	306	3	44	81	225	68
SRR35936363	CST-IV-B	VirSorter	0.29164332306211	0.75	0.1875	112	306	3	21	7	299	91
SRR35936363	CST-IV-B	VirSorter2	0.6079173540286053	0.7931034482758621	0.6160714285714286	112	306	3	69	18	288	43
SRR35936363	CST-IV-B	VirFinder	0.26041834977415107	0.6	0.24107142857142858	112	306	3	27	18	288	85
SRR35936363	CST-IV-B	PPR-Meta	0.33051297631721865	0.5915492957746479	0.375	112	306	3	42	29	277	70
SRR35936363	CST-IV-B	VIBRANT	0.30089138112073704	0.6666666666666666	0.25	112	306	3	28	14	292	84
SRR35936363	CST-IV-B	Seeker	-0.428252505936588	0.1608832807570978	0.45535714285714285	112	306	3	51	266	40	61
SRR35936363	CST-IV-B	MetaPhinder	0.10109042535644651	0.35106382978723405	0.29464285714285715	112	306	3	33	61	245	79
SRR35936363	CST-IV-B	Sourmash	0.0	0.0	0.0	112	306	3	0	0	306	112
SRR35936363	CST-IV-B	geNomad	0.759116541454459	0.8411214953271028	0.8035714285714286	112	306	3	90	17	289	22
SRR35936363	CST-IV-B	HVSeeker	-0.1051136297072772	0.23015873015873015	0.5178571428571429	112	306	3	58	194	112	54
SRR35936363	CST-IV-B	Jaeger	0.4134472953298595	0.7241379310344828	0.375	112	306	3	42	16	290	70
SRR35936363	CST-IV-B	TransGINmer	0.12741364567229171	0.30333333333333334	0.8125	112	306	3	91	209	97	21
SRR35936363	CST-IV-B	ViraLM	0.6910077297281658	0.6285714285714286	0.9821428571428571	112	306	3	110	65	241	2
SRR34514383	CST-IV-B	DeepVirFinder	0.1969583331913182	0.3050847457627119	0.375	96	508	7	36	82	426	60
SRR34514383	CST-IV-B	VirSorter	0.2824819639822368	0.6666666666666666	0.16666666666666666	96	508	7	16	8	500	80
SRR34514383	CST-IV-B	VirSorter2	0.6237393742103121	0.7468354430379747	0.6145833333333334	96	508	7	59	20	488	37
SRR34514383	CST-IV-B	VirFinder	0.2625178502417248	0.48936170212765956	0.23958333333333334	96	508	7	23	24	484	73
SRR34514383	CST-IV-B	PPR-Meta	0.3602580508472541	0.5483870967741935	0.3541666666666667	96	508	7	34	28	480	62
SRR34514383	CST-IV-B	VIBRANT	0.388046823701279	0.8148148148148148	0.22916666666666666	96	508	7	22	5	503	74
SRR34514383	CST-IV-B	Seeker	-0.2645482994350076	0.10112359550561797	0.46875	96	508	7	45	400	108	51
SRR34514383	CST-IV-B	MetaPhinder	0.009869267232233097	0.16470588235294117	0.2916666666666667	96	508	7	28	142	366	68
SRR34514383	CST-IV-B	Sourmash	0.0	0.0	0.0	96	508	7	0	0	508	96
SRR34514383	CST-IV-B	geNomad	0.8057085827019449	0.8494623655913979	0.8229166666666666	96	508	7	79	14	494	17
SRR34514383	CST-IV-B	HVSeeker	-0.1189492591233678	0.12362637362637363	0.46875	96	508	7	45	319	189	51
SRR34514383	CST-IV-B	Jaeger	0.38751403070839147	0.6111111111111112	0.34375	96	508	7	33	21	487	63
SRR34514383	CST-IV-B	TransGINmer	0.33380433064600085	0.2988505747126437	0.8125	96	508	7	78	183	325	18
SRR34514383	CST-IV-B	ViraLM	0.8503454440870847	0.7833333333333333	0.9791666666666666	96	508	7	94	26	482	2
