omitted_background	tool	n_CST_I	n_CST_IVB	delta_IVB_minus_I	delta_CIl	delta_CIh	delta_excludes_0
SRR27287984	VirSorter	3	4	-0.0008789435965044223	-0.10002082305073912	0.07285360010716183	False
SRR27287984	VirSorter2	3	4	-0.12750408726791385	-0.2805042223958715	0.012754631016378082	False
SRR27287984	VirFinder	3	4	-0.11190902407913178	-0.20931102998284684	-0.02780098159377309	True
SRR27287984	PPR-Meta	3	4	-0.11856535432187304	-0.22565298882755747	-0.010059046408507133	True
SRR27287984	VIBRANT	3	4	-0.09123208960552887	-0.20225768529191562	0.00805156244547045	False
SRR27287984	Seeker	3	4	0.17688280693494504	0.02734689116052552	0.3189972584903076	True
SRR27287984	MetaPhinder	3	4	-0.0567809462042414	-0.13792954439824026	0.02320937460405577	False
SRR27287984	Sourmash	3	4	0.0	0.0	0.0	False
SRR27287984	geNomad	3	4	-0.158955657278942	-0.33538210114739087	0.0019636731989300894	False
SRR27287984	HVSeeker	3	4	0.16102227249978218	0.08411347368317115	0.221274308472455	True
SRR27287984	Jaeger	3	4	-0.1475012087674673	-0.28960558806638187	-0.004097956411602377	True
SRR27287984	TransGINmer	3	4	-0.38225910656415774	-0.670459729897787	-0.08151419795606674	True
SRR27287984	ViraLM	3	4	-0.2456753675010086	-0.4578950911911192	-0.02048846587015085	True
SRR35936354	DeepVirFinder	3	4	-0.09919035374596324	-0.1760559239646486	-0.030190124964314956	True
SRR35936354	VirSorter	3	4	0.019579528089986392	-0.0795623513642483	0.08537563757121605	False
SRR35936354	VirSorter2	3	4	-0.10888599663158549	-0.2531113216176547	0.031372721652706326	False
SRR35936354	VirFinder	3	4	-0.11826462956309697	-0.21583019318745553	-0.03430702292045945	True
SRR35936354	PPR-Meta	3	4	-0.10202512178261736	-0.2085313092920696	0.006481186130748606	False
SRR35936354	VIBRANT	3	4	-0.062344148276596845	-0.1738565571384022	0.03808108363991186	False
SRR35936354	Seeker	3	4	0.18964869382703395	0.04045697480392624	0.3308338141342351	True
SRR35936354	MetaPhinder	3	4	-0.022817154091070185	-0.08408329133560041	0.037185313072672414	False
SRR35936354	Sourmash	3	4	0.0	0.0	0.0	False
SRR35936354	geNomad	3	4	-0.14291863394226267	-0.3152810560850626	0.01794599216032644	False
SRR35936354	HVSeeker	3	4	0.20919081619086888	0.14893878021819607	0.2694428521635417	True
SRR35936354	Jaeger	3	4	-0.11292676998639495	-0.2514068248739388	0.026958092851687054	False
SRR35936354	TransGINmer	3	4	-0.5529370600486502	-0.7376163786179836	-0.3914194855066064	True
SRR35936354	ViraLM	3	4	-0.28199811527947993	-0.4757178012254534	-0.07943876250767146	True
SRR27287985	DeepVirFinder	3	4	-0.10833449934828829	-0.18566616622372775	-0.04260195051776425	True
SRR27287985	VirSorter	3	4	0.012007821103461852	-0.08713405835077287	0.08537563757121605	False
SRR27287985	VirSorter2	3	4	-0.13493870123110052	-0.29033838512324245	0.005320017053191406	False
SRR27287985	VirFinder	3	4	-0.12629843100116633	-0.22187180510805599	-0.04218478843002145	True
SRR27287985	PPR-Meta	3	4	-0.11088006382280774	-0.2195038911390629	0.0013313715385878703	False
SRR27287985	VIBRANT	3	4	-0.07567266704997733	-0.1942338760340861	0.031851645550327934	False
SRR27287985	Seeker	3	4	0.19711083370220464	0.04965195947381035	0.3392252852575672	True
SRR27287985	MetaPhinder	3	4	-0.05594010258406751	-0.13796668074845245	0.019562053715703024	False
SRR27287985	Sourmash	3	4	0.0	0.0	0.0	False
SRR27287985	geNomad	3	4	-0.144644266384924	-0.31873232097038506	0.01587945509220068	False
SRR27287985	HVSeeker	3	4	0.18561623863888532	0.10504642254492312	0.2633804862745876	True
SRR27287985	Jaeger	3	4	-0.14906132745451306	-0.2999194697635008	-0.005452552289557933	True
SRR27287985	TransGINmer	3	4	-0.380380692078358	-0.6691736602881583	-0.06462313239387903	True
SRR27287985	ViraLM	3	4	-0.23683570067517334	-0.44229964287494383	-0.009832493840997159	True
SRR27287964	DeepVirFinder	4	3	-0.06505327605455863	-0.10668154590548352	-0.01441860509134471	True
SRR27287964	VirSorter	4	3	-0.007366413959214141	-0.14349642919185907	0.07856499072916046	False
SRR27287964	VirSorter2	4	3	-0.10963872944044922	-0.3489928241085889	0.0347953774463859	False
SRR27287964	VirFinder	4	3	-0.06948210573105304	-0.13418886030153393	-0.02354699101218366	True
SRR27287964	PPR-Meta	4	3	-0.07264815464650598	-0.1970698126147387	0.014180944637806503	False
SRR27287964	VIBRANT	4	3	-0.07523446096872272	-0.22564246995269416	0.04577776877859218	False
SRR27287964	Seeker	4	3	0.13445242588635148	-0.0319025588817346	0.3106430817289253	False
SRR27287964	MetaPhinder	4	3	-0.04362261639745085	-0.12915027725710895	0.03935690573114207	False
SRR27287964	Sourmash	4	3	0.0	0.0	0.0	False
SRR27287964	geNomad	4	3	-0.13145619994024083	-0.40047932891109855	0.028583428208792894	False
SRR27287964	HVSeeker	4	3	0.16528484441973873	0.09518049305831681	0.24389267932437497	True
SRR27287964	Jaeger	4	3	-0.0815223713031874	-0.2202745907123758	0.030099677779530376	False
SRR27287964	TransGINmer	4	3	-0.44590532812693284	-0.7314004795407125	-0.12037950017915491	True
SRR27287964	ViraLM	4	3	-0.17386666824176156	-0.39503793085181876	0.0185629852185637	False
SRR27287966	DeepVirFinder	4	3	-0.10012837288836879	-0.20701062342756296	-0.01441860509134471	True
SRR27287966	VirSorter	4	3	0.05622650797733597	0.02820924498561811	0.0843113980338124	True
SRR27287966	VirSorter2	4	3	-0.05215030135960097	-0.17652753986604408	0.0347953774463859	False
SRR27287966	VirFinder	4	3	-0.11183929568907405	-0.26126043017559686	-0.02354699101218366	True
SRR27287966	PPR-Meta	4	3	-0.08225521656716506	-0.22589099837671572	0.014180944637806503	False
SRR27287966	VIBRANT	4	3	-0.024043233111891382	-0.09194290446201087	0.04577776877859218	False
SRR27287966	Seeker	4	3	0.14373938844615378	-0.0319025588817346	0.3385039694083323	False
SRR27287966	MetaPhinder	4	3	-0.07724976329071506	-0.14245794608450085	-0.017825579231065758	True
SRR27287966	Sourmash	4	3	0.0	0.0	0.0	False
SRR27287966	geNomad	4	3	-0.06931845790714297	-0.21406610281180505	0.028583428208792894	False
SRR27287966	HVSeeker	4	3	0.16613471615406444	0.09518049305831681	0.2455924227930264	True
SRR27287966	Jaeger	4	3	-0.10903734819996397	-0.2970279511529922	0.030099677779530376	False
SRR27287966	TransGINmer	4	3	-0.3437841689344374	-0.5434071507677426	-0.09161328172191668	True
SRR27287966	ViraLM	4	3	-0.20258568775430275	-0.48119498938944205	0.0185629852185637	False
SRR35936363	DeepVirFinder	4	3	-0.1085019050250111	-0.20701062342756296	-0.01441860509134471	True
SRR35936363	VirSorter	4	3	-0.01236974269176025	-0.12222845717012044	0.07050787563665661	False
SRR35936363	VirSorter2	4	3	-0.17176332422593527	-0.33459925345071717	0.0011221774425291347	False
SRR35936363	VirFinder	4	3	-0.14628252172722628	-0.26126043017559686	-0.038216671204971	True
SRR35936363	PPR-Meta	4	3	-0.14349029829048826	-0.23801605326384606	0.00797189162773515	False
SRR35936363	VIBRANT	4	3	-0.09241636212862922	-0.23774704926714987	0.03834410399498539	False
SRR35936363	Seeker	4	3	0.26112290928675774	0.13177114087776054	0.3465277897331116	True
SRR35936363	MetaPhinder	4	3	-0.05371019103964965	-0.1376594638723674	0.03386358081275112	False
SRR35936363	Sourmash	4	3	0.0	0.0	0.0	False
SRR35936363	geNomad	4	3	-0.19671179435065556	-0.40177355324309455	0.016264954164415535	False
SRR35936363	HVSeeker	4	3	0.2001126597471714	0.12150482484253518	0.2748501343739816	True
SRR35936363	Jaeger	4	3	-0.19088202798881895	-0.3221306626474203	-0.02195391159327195	True
SRR35936363	TransGINmer	4	3	-0.43247396024361145	-0.7194131427933497	-0.1282445533287968	True
SRR35936363	ViraLM	4	3	-0.28879019830868224	-0.48862720099783225	0.014212655266888863	False
SRR34514383	DeepVirFinder	4	3	-0.13283256837891538	-0.20701062342756296	-0.08078912245568501	True
SRR34514383	VirSorter	4	3	-0.009315956331802516	-0.12222845717012044	0.07661544835657205	False
SRR34514383	VirSorter2	4	3	-0.1770373309531708	-0.33459925345071717	-0.014699842739177729	True
SRR34514383	VirFinder	4	3	-0.1469823552164175	-0.26126043017559686	-0.04031617167254473	True
SRR34514383	PPR-Meta	4	3	-0.1534053231338334	-0.23801605326384606	-0.021773182902300292	True
SRR34514383	VIBRANT	4	3	-0.12146817632214321	-0.23774704926714987	-0.03142909130870636	True
SRR34514383	Seeker	4	3	0.2065548404528976	-0.03193306562381987	0.3465277897331116	False
SRR34514383	MetaPhinder	4	3	-0.023303138331578502	-0.0918758370546678	0.03934113991326389	False
SRR34514383	Sourmash	4	3	0.0	0.0	0.0	False
SRR34514383	geNomad	4	3	-0.21224247476648417	-0.40177355324309455	-0.030327087083070303	True
SRR34514383	HVSeeker	4	3	0.2047245362192016	0.13072857778659558	0.2748501343739816	True
SRR34514383	Jaeger	4	3	-0.1822376064483296	-0.3221306626474203	0.0039793530281961075	False
SRR34514383	TransGINmer	4	3	-0.5012708552348478	-0.7385766829851205	-0.25053365960125384	True
SRR34514383	ViraLM	4	3	-0.3419027697616552	-0.48862720099783225	-0.14512505909203	True
