# Template for table_s3_track_c_by_virus_category.tsv: row order, keys (sample, tool, virus_category) and author-owned columns.
# Blank cells are filled by scripts/07_evaluation/publish_parser_revision_tables.py
# from results/test_real/rca_concordance and Table S21; the published table is never read back.
sample	cst	tool	method_approach	tool_scope	virus_category	cell_A	cell_B	cell_D	cell_E	n_rca_positive	rca_validated_recall	rca_validated_precision
UC093_V2		MetaPhinder			phage							
UC093_V2		Sourmash			eukaryotic_virus							
UC093_V2		Sourmash			phage							
UC093_V2		geNomad			eukaryotic_virus							
UC093_V2		geNomad			phage							
UC093_V2		HVSeeker			eukaryotic_virus							
UC093_V2		HVSeeker			phage							
UC093_V2		Jaeger			eukaryotic_virus							
UC093_V2		Jaeger			phage							
UC093_V2		TransGINmer			eukaryotic_virus							
UC093_V2		TransGINmer			phage							
UC093_V2		ViraLM			eukaryotic_virus							
UC093_V2		ViraLM			phage							
UC139_V2		DeepVirFinder			eukaryotic_virus							
UC139_V2		DeepVirFinder			phage							
UC139_V2		VirSorter			eukaryotic_virus							
UC139_V2		VirSorter			phage							
UC139_V2		VirSorter2			eukaryotic_virus							
UC139_V2		VirSorter2			phage							
UC139_V2		VirFinder			eukaryotic_virus							
UC139_V2		VirFinder			phage							
UC139_V2		PPR-Meta			eukaryotic_virus							
UC139_V2		PPR-Meta			phage							
UC139_V2		VIBRANT			eukaryotic_virus							
UC139_V2		VIBRANT			phage							
UC139_V2		Seeker			eukaryotic_virus							
UC139_V2		Seeker			phage							
UC139_V2		MetaPhinder			eukaryotic_virus							
UC139_V2		MetaPhinder			phage							
UC139_V2		Sourmash			eukaryotic_virus							
UC139_V2		Sourmash			phage							
UC139_V2		geNomad			eukaryotic_virus							
UC139_V2		geNomad			phage							
UC139_V2		HVSeeker			eukaryotic_virus							
UC139_V2		HVSeeker			phage							
UC139_V2		Jaeger			eukaryotic_virus							
UC139_V2		Jaeger			phage							
UC139_V2		TransGINmer			eukaryotic_virus							
UC139_V2		TransGINmer			phage							
UC139_V2		ViraLM			eukaryotic_virus							
UC139_V2		ViraLM			phage							
UC055_V1		DeepVirFinder			eukaryotic_virus							
UC055_V1		DeepVirFinder			phage							
UC055_V1		VirSorter			eukaryotic_virus							
UC055_V1		VirSorter			phage							
UC055_V1		VirSorter2			eukaryotic_virus							
UC055_V1		VirSorter2			phage							
UC055_V1		VirFinder			eukaryotic_virus							
UC055_V1		VirFinder			phage							
UC055_V1		PPR-Meta			eukaryotic_virus							
UC055_V1		PPR-Meta			phage							
UC055_V1		VIBRANT			eukaryotic_virus							
UC055_V1		VIBRANT			phage							
UC055_V1		Seeker			eukaryotic_virus							
UC055_V1		Seeker			phage							
UC055_V1		MetaPhinder			eukaryotic_virus							
UC055_V1		MetaPhinder			phage							
UC055_V1		Sourmash			eukaryotic_virus							
UC055_V1		Sourmash			phage							
UC055_V1		geNomad			eukaryotic_virus							
UC055_V1		geNomad			phage							
UC055_V1		HVSeeker			eukaryotic_virus							
UC055_V1		HVSeeker			phage							
UC055_V1		Jaeger			eukaryotic_virus							
UC055_V1		Jaeger			phage							
UC055_V1		TransGINmer			eukaryotic_virus							
UC055_V1		TransGINmer			phage							
UC055_V1		ViraLM			eukaryotic_virus							
UC055_V1		ViraLM			phage							
UC065_V2		DeepVirFinder			eukaryotic_virus							
UC065_V2		DeepVirFinder			phage							
UC065_V2		VirSorter			eukaryotic_virus							
UC065_V2		VirSorter			phage							
UC065_V2		VirSorter2			eukaryotic_virus							
UC065_V2		VirSorter2			phage							
UC065_V2		VirFinder			eukaryotic_virus							
UC065_V2		VirFinder			phage							
UC065_V2		PPR-Meta			eukaryotic_virus							
UC065_V2		PPR-Meta			phage							
UC065_V2		VIBRANT			eukaryotic_virus							
UC065_V2		VIBRANT			phage							
UC065_V2		Seeker			eukaryotic_virus							
UC065_V2		Seeker			phage							
UC065_V2		MetaPhinder			eukaryotic_virus							
UC065_V2		MetaPhinder			phage							
UC065_V2		Sourmash			eukaryotic_virus							
UC065_V2		Sourmash			phage							
UC065_V2		geNomad			eukaryotic_virus							
UC065_V2		geNomad			phage							
UC065_V2		HVSeeker			eukaryotic_virus							
UC065_V2		HVSeeker			phage							
UC065_V2		Jaeger			eukaryotic_virus							
UC065_V2		Jaeger			phage							
UC065_V2		TransGINmer			eukaryotic_virus							
UC065_V2		TransGINmer			phage							
UC065_V2		ViraLM			eukaryotic_virus							
UC065_V2		ViraLM			phage							
UC096_V2		DeepVirFinder			eukaryotic_virus							
UC096_V2		DeepVirFinder			phage							
UC096_V2		VirSorter			eukaryotic_virus							
UC096_V2		VirSorter			phage							
UC096_V2		VirSorter2			eukaryotic_virus							
UC096_V2		VirSorter2			phage							
UC096_V2		VirFinder			eukaryotic_virus							
UC096_V2		VirFinder			phage							
UC096_V2		PPR-Meta			eukaryotic_virus							
UC096_V2		PPR-Meta			phage							
UC096_V2		VIBRANT			eukaryotic_virus							
UC096_V2		VIBRANT			phage							
UC096_V2		Seeker			eukaryotic_virus							
UC096_V2		Seeker			phage							
UC096_V2		MetaPhinder			eukaryotic_virus							
UC096_V2		MetaPhinder			phage							
UC096_V2		Sourmash			eukaryotic_virus							
UC096_V2		Sourmash			phage							
UC096_V2		geNomad			eukaryotic_virus							
UC096_V2		geNomad			phage							
UC096_V2		HVSeeker			eukaryotic_virus							
UC096_V2		HVSeeker			phage							
UC096_V2		Jaeger			eukaryotic_virus							
UC096_V2		Jaeger			phage							
UC096_V2		TransGINmer			eukaryotic_virus							
UC096_V2		TransGINmer			phage							
UC096_V2		ViraLM			eukaryotic_virus							
UC096_V2		ViraLM			phage							
UC028_V2		DeepVirFinder			eukaryotic_virus							
UC028_V2		DeepVirFinder			phage							
UC028_V2		VirSorter			eukaryotic_virus							
UC028_V2		VirSorter			phage							
UC028_V2		VirSorter2			eukaryotic_virus							
UC028_V2		VirSorter2			phage							
UC028_V2		VirFinder			eukaryotic_virus							
UC028_V2		VirFinder			phage							
UC028_V2		PPR-Meta			eukaryotic_virus							
UC028_V2		PPR-Meta			phage							
UC028_V2		VIBRANT			eukaryotic_virus							
UC028_V2		VIBRANT			phage							
UC028_V2		Seeker			eukaryotic_virus							
UC028_V2		Seeker			phage							
UC028_V2		MetaPhinder			eukaryotic_virus							
UC028_V2		MetaPhinder			phage							
UC028_V2		Sourmash			eukaryotic_virus							
UC028_V2		Sourmash			phage							
UC028_V2		geNomad			eukaryotic_virus							
UC028_V2		geNomad			phage							
UC028_V2		HVSeeker			eukaryotic_virus							
UC028_V2		HVSeeker			phage							
UC028_V2		Jaeger			eukaryotic_virus							
UC028_V2		Jaeger			phage							
UC028_V2		TransGINmer			eukaryotic_virus							
UC028_V2		TransGINmer			phage							
UC028_V2		ViraLM			eukaryotic_virus							
UC028_V2		ViraLM			phage							
UC074_V2		DeepVirFinder			eukaryotic_virus							
UC074_V2		DeepVirFinder			phage							
UC074_V2		VirSorter			eukaryotic_virus							
UC074_V2		VirSorter			phage							
UC074_V2		VirSorter2			eukaryotic_virus							
UC074_V2		VirSorter2			phage							
UC074_V2		VirFinder			eukaryotic_virus							
UC074_V2		VirFinder			phage							
UC074_V2		PPR-Meta			eukaryotic_virus							
UC074_V2		PPR-Meta			phage							
UC074_V2		VIBRANT			eukaryotic_virus							
UC074_V2		VIBRANT			phage							
UC074_V2		Seeker			eukaryotic_virus							
UC074_V2		Seeker			phage							
UC074_V2		MetaPhinder			eukaryotic_virus							
UC074_V2		MetaPhinder			phage							
UC074_V2		Sourmash			eukaryotic_virus							
UC074_V2		Sourmash			phage							
UC074_V2		geNomad			eukaryotic_virus							
UC074_V2		geNomad			phage							
UC074_V2		HVSeeker			eukaryotic_virus							
UC074_V2		HVSeeker			phage							
UC074_V2		Jaeger			eukaryotic_virus							
UC074_V2		Jaeger			phage							
UC074_V2		TransGINmer			eukaryotic_virus							
UC074_V2		TransGINmer			phage							
UC074_V2		ViraLM			eukaryotic_virus							
UC074_V2		ViraLM			phage							
UC093_V3		DeepVirFinder			eukaryotic_virus							
UC093_V3		DeepVirFinder			phage							
UC093_V3		VirSorter			eukaryotic_virus							
UC093_V3		VirSorter			phage							
UC093_V3		VirSorter2			eukaryotic_virus							
UC093_V3		VirSorter2			phage							
UC093_V3		VirFinder			eukaryotic_virus							
UC093_V3		VirFinder			phage							
UC093_V3		PPR-Meta			eukaryotic_virus							
UC093_V3		PPR-Meta			phage							
UC093_V3		VIBRANT			eukaryotic_virus							
UC093_V3		VIBRANT			phage							
UC093_V3		Seeker			eukaryotic_virus							
UC093_V3		Seeker			phage							
UC093_V3		MetaPhinder			eukaryotic_virus							
UC093_V3		MetaPhinder			phage							
UC093_V3		Sourmash			eukaryotic_virus							
UC093_V3		Sourmash			phage							
UC093_V3		geNomad			eukaryotic_virus							
UC093_V3		geNomad			phage							
UC093_V3		HVSeeker			eukaryotic_virus							
UC093_V3		HVSeeker			phage							
UC093_V3		Jaeger			eukaryotic_virus							
UC093_V3		Jaeger			phage							
UC093_V3		TransGINmer			eukaryotic_virus							
UC093_V3		TransGINmer			phage							
UC093_V3		ViraLM			eukaryotic_virus							
UC093_V3		ViraLM			phage							
UC055_V2		DeepVirFinder			eukaryotic_virus							
UC055_V2		DeepVirFinder			phage							
UC055_V2		VirSorter			eukaryotic_virus							
UC055_V2		VirSorter			phage							
UC055_V2		VirSorter2			eukaryotic_virus							
UC055_V2		VirSorter2			phage							
UC055_V2		VirFinder			eukaryotic_virus							
UC055_V2		VirFinder			phage							
UC055_V2		PPR-Meta			eukaryotic_virus							
UC055_V2		PPR-Meta			phage							
UC055_V2		VIBRANT			eukaryotic_virus							
UC055_V2		VIBRANT			phage							
UC055_V2		Seeker			eukaryotic_virus							
UC055_V2		Seeker			phage							
UC055_V2		MetaPhinder			eukaryotic_virus							
UC055_V2		MetaPhinder			phage							
UC055_V2		Sourmash			eukaryotic_virus							
UC055_V2		Sourmash			phage							
UC055_V2		geNomad			eukaryotic_virus							
UC055_V2		geNomad			phage							
UC055_V2		HVSeeker			eukaryotic_virus							
UC055_V2		HVSeeker			phage							
UC055_V2		Jaeger			eukaryotic_virus							
UC055_V2		Jaeger			phage							
UC055_V2		TransGINmer			eukaryotic_virus							
UC055_V2		TransGINmer			phage							
UC055_V2		ViraLM			eukaryotic_virus							
UC055_V2		ViraLM			phage							
UC062_V2		DeepVirFinder			eukaryotic_virus							
UC062_V2		DeepVirFinder			phage							
UC062_V2		VirSorter			eukaryotic_virus							
UC062_V2		VirSorter			phage							
UC062_V2		VirSorter2			eukaryotic_virus							
UC062_V2		VirSorter2			phage							
UC062_V2		VirFinder			eukaryotic_virus							
UC062_V2		VirFinder			phage							
UC062_V2		PPR-Meta			eukaryotic_virus							
UC062_V2		PPR-Meta			phage							
UC062_V2		VIBRANT			eukaryotic_virus							
UC062_V2		VIBRANT			phage							
UC062_V2		Seeker			eukaryotic_virus							
UC062_V2		Seeker			phage							
UC062_V2		MetaPhinder			eukaryotic_virus							
UC062_V2		MetaPhinder			phage							
UC062_V2		Sourmash			eukaryotic_virus							
UC062_V2		Sourmash			phage							
UC062_V2		geNomad			eukaryotic_virus							
UC062_V2		geNomad			phage							
UC062_V2		HVSeeker			eukaryotic_virus							
UC062_V2		HVSeeker			phage							
UC062_V2		Jaeger			eukaryotic_virus							
UC062_V2		Jaeger			phage							
UC062_V2		TransGINmer			eukaryotic_virus							
UC062_V2		TransGINmer			phage							
UC062_V2		ViraLM			eukaryotic_virus							
UC062_V2		ViraLM			phage							
