cohort	run	R1	R2	platform	role
PRJNA1054643	SRR27287972	data/expansion_cohorts/reads/symlinks/SRR27287972_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287972_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287973	data/expansion_cohorts/reads/symlinks/SRR27287973_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287973_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287979	data/expansion_cohorts/reads/symlinks/SRR27287979_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287979_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287981	data/expansion_cohorts/reads/symlinks/SRR27287981_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287981_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287987	data/expansion_cohorts/reads/symlinks/SRR27287987_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287987_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287990	data/expansion_cohorts/reads/symlinks/SRR27287990_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287990_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287992	data/expansion_cohorts/reads/symlinks/SRR27287992_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287992_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287995	data/expansion_cohorts/reads/symlinks/SRR27287995_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287995_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287998	data/expansion_cohorts/reads/symlinks/SRR27287998_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287998_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288004	data/expansion_cohorts/reads/symlinks/SRR27288004_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288004_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288007	data/expansion_cohorts/reads/symlinks/SRR27288007_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288007_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288009	data/expansion_cohorts/reads/symlinks/SRR27288009_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288009_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288010	data/expansion_cohorts/reads/symlinks/SRR27288010_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288010_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288013	data/expansion_cohorts/reads/symlinks/SRR27288013_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288013_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288014	data/expansion_cohorts/reads/symlinks/SRR27288014_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288014_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288016	data/expansion_cohorts/reads/symlinks/SRR27288016_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288016_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288017	data/expansion_cohorts/reads/symlinks/SRR27288017_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288017_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288018	data/expansion_cohorts/reads/symlinks/SRR27288018_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288018_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288024	data/expansion_cohorts/reads/symlinks/SRR27288024_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288024_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288026	data/expansion_cohorts/reads/symlinks/SRR27288026_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288026_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287962	data/expansion_cohorts/reads/symlinks/SRR27287962_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287962_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287966	data/expansion_cohorts/reads/symlinks/SRR27287966_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287966_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287968	data/expansion_cohorts/reads/symlinks/SRR27287968_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287968_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287969	data/expansion_cohorts/reads/symlinks/SRR27287969_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287969_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287971	data/expansion_cohorts/reads/symlinks/SRR27287971_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287971_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287974	data/expansion_cohorts/reads/symlinks/SRR27287974_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287974_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287975	data/expansion_cohorts/reads/symlinks/SRR27287975_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287975_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287976	data/expansion_cohorts/reads/symlinks/SRR27287976_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287976_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287977	data/expansion_cohorts/reads/symlinks/SRR27287977_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287977_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287982	data/expansion_cohorts/reads/symlinks/SRR27287982_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287982_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287983	data/expansion_cohorts/reads/symlinks/SRR27287983_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287983_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287984	data/expansion_cohorts/reads/symlinks/SRR27287984_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287984_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287986	data/expansion_cohorts/reads/symlinks/SRR27287986_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287986_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287991	data/expansion_cohorts/reads/symlinks/SRR27287991_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287991_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287993	data/expansion_cohorts/reads/symlinks/SRR27287993_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287993_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287994	data/expansion_cohorts/reads/symlinks/SRR27287994_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287994_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287996	data/expansion_cohorts/reads/symlinks/SRR27287996_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287996_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27287997	data/expansion_cohorts/reads/symlinks/SRR27287997_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27287997_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288001	data/expansion_cohorts/reads/symlinks/SRR27288001_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288001_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288002	data/expansion_cohorts/reads/symlinks/SRR27288002_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288002_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288008	data/expansion_cohorts/reads/symlinks/SRR27288008_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288008_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288011	data/expansion_cohorts/reads/symlinks/SRR27288011_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288011_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288015	data/expansion_cohorts/reads/symlinks/SRR27288015_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288015_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288023	data/expansion_cohorts/reads/symlinks/SRR27288023_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288023_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288025	data/expansion_cohorts/reads/symlinks/SRR27288025_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288025_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1054643	SRR27288027	data/expansion_cohorts/reads/symlinks/SRR27288027_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR27288027_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1288683	SRR34514383	data/expansion_cohorts/reads/symlinks/SRR34514383_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514383_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514388	data/expansion_cohorts/reads/symlinks/SRR34514388_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514388_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514400	data/expansion_cohorts/reads/symlinks/SRR34514400_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514400_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514404	data/expansion_cohorts/reads/symlinks/SRR34514404_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514404_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514384	data/expansion_cohorts/reads/symlinks/SRR34514384_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514384_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514385	data/expansion_cohorts/reads/symlinks/SRR34514385_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514385_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514386	data/expansion_cohorts/reads/symlinks/SRR34514386_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514386_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514391	data/expansion_cohorts/reads/symlinks/SRR34514391_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514391_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514399	data/expansion_cohorts/reads/symlinks/SRR34514399_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514399_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514402	data/expansion_cohorts/reads/symlinks/SRR34514402_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514402_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514403	data/expansion_cohorts/reads/symlinks/SRR34514403_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514403_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1288683	SRR34514405	data/expansion_cohorts/reads/symlinks/SRR34514405_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR34514405_2.fastq.gz	ILLUMINA	track_b_secondary
PRJNA1356845	SRR35936356	data/expansion_cohorts/reads/symlinks/SRR35936356_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936356_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936358	data/expansion_cohorts/reads/symlinks/SRR35936358_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936358_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936359	data/expansion_cohorts/reads/symlinks/SRR35936359_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936359_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936364	data/expansion_cohorts/reads/symlinks/SRR35936364_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936364_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936365	data/expansion_cohorts/reads/symlinks/SRR35936365_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936365_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936366	data/expansion_cohorts/reads/symlinks/SRR35936366_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936366_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936367	data/expansion_cohorts/reads/symlinks/SRR35936367_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936367_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936372	data/expansion_cohorts/reads/symlinks/SRR35936372_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936372_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936374	data/expansion_cohorts/reads/symlinks/SRR35936374_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936374_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936376	data/expansion_cohorts/reads/symlinks/SRR35936376_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936376_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936382	data/expansion_cohorts/reads/symlinks/SRR35936382_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936382_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936383	data/expansion_cohorts/reads/symlinks/SRR35936383_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936383_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936354	data/expansion_cohorts/reads/symlinks/SRR35936354_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936354_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936360	data/expansion_cohorts/reads/symlinks/SRR35936360_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936360_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936361	data/expansion_cohorts/reads/symlinks/SRR35936361_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936361_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936363	data/expansion_cohorts/reads/symlinks/SRR35936363_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936363_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936368	data/expansion_cohorts/reads/symlinks/SRR35936368_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936368_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936369	data/expansion_cohorts/reads/symlinks/SRR35936369_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936369_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936375	data/expansion_cohorts/reads/symlinks/SRR35936375_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936375_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936377	data/expansion_cohorts/reads/symlinks/SRR35936377_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936377_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936381	data/expansion_cohorts/reads/symlinks/SRR35936381_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936381_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936385	data/expansion_cohorts/reads/symlinks/SRR35936385_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936385_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936387	data/expansion_cohorts/reads/symlinks/SRR35936387_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936387_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936355	data/expansion_cohorts/reads/symlinks/SRR35936355_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936355_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936357	data/expansion_cohorts/reads/symlinks/SRR35936357_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936357_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936362	data/expansion_cohorts/reads/symlinks/SRR35936362_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936362_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936370	data/expansion_cohorts/reads/symlinks/SRR35936370_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936370_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936371	data/expansion_cohorts/reads/symlinks/SRR35936371_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936371_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936373	data/expansion_cohorts/reads/symlinks/SRR35936373_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936373_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936378	data/expansion_cohorts/reads/symlinks/SRR35936378_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936378_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936379	data/expansion_cohorts/reads/symlinks/SRR35936379_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936379_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936380	data/expansion_cohorts/reads/symlinks/SRR35936380_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936380_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936384	data/expansion_cohorts/reads/symlinks/SRR35936384_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936384_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1356845	SRR35936386	data/expansion_cohorts/reads/symlinks/SRR35936386_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR35936386_2.fastq.gz	DNBSEQ	track_b_primary
PRJNA1170175	SRR30907788	data/expansion_cohorts/reads/symlinks/SRR30907788_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907788_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907793	data/expansion_cohorts/reads/symlinks/SRR30907793_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907793_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907797	data/expansion_cohorts/reads/symlinks/SRR30907797_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907797_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907798	data/expansion_cohorts/reads/symlinks/SRR30907798_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907798_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907799	data/expansion_cohorts/reads/symlinks/SRR30907799_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907799_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907802	data/expansion_cohorts/reads/symlinks/SRR30907802_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907802_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907805	data/expansion_cohorts/reads/symlinks/SRR30907805_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907805_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907806	data/expansion_cohorts/reads/symlinks/SRR30907806_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907806_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907808	data/expansion_cohorts/reads/symlinks/SRR30907808_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907808_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907787	data/expansion_cohorts/reads/symlinks/SRR30907787_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907787_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907789	data/expansion_cohorts/reads/symlinks/SRR30907789_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907789_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907790	data/expansion_cohorts/reads/symlinks/SRR30907790_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907790_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907791	data/expansion_cohorts/reads/symlinks/SRR30907791_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907791_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907803	data/expansion_cohorts/reads/symlinks/SRR30907803_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907803_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907804	data/expansion_cohorts/reads/symlinks/SRR30907804_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907804_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907807	data/expansion_cohorts/reads/symlinks/SRR30907807_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907807_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907810	data/expansion_cohorts/reads/symlinks/SRR30907810_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907810_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907792	data/expansion_cohorts/reads/symlinks/SRR30907792_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907792_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907794	data/expansion_cohorts/reads/symlinks/SRR30907794_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907794_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907795	data/expansion_cohorts/reads/symlinks/SRR30907795_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907795_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907796	data/expansion_cohorts/reads/symlinks/SRR30907796_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907796_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907800	data/expansion_cohorts/reads/symlinks/SRR30907800_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907800_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907801	data/expansion_cohorts/reads/symlinks/SRR30907801_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907801_2.fastq.gz	ILLUMINA	track_a_primary
PRJNA1170175	SRR30907809	data/expansion_cohorts/reads/symlinks/SRR30907809_1.fastq.gz	data/expansion_cohorts/reads/symlinks/SRR30907809_2.fastq.gz	ILLUMINA	track_a_primary
